,codes,id,id_region,insee,label,label_region,lat,lon,name,region,timezone,zip_code
1036,"[{'type': 'CR-CI-CH', 'value': '0087-615476-BV'}]",stop_area:OCE:SA:87615476,admin:144410extern,81140,Lavaur (Lavaur),Lavaur (81500),43.703378,1.813033,Lavaur,Lavaur,Europe/Paris,81500
1037,"[{'type': 'CR-CI-CH', 'value': '0087-615484-00'}]",stop_area:OCE:SA:87615484,admin:1619833extern,81078,Damiatte-St-Paul (Damiatte),Damiatte (81220),43.656085,1.974147,Damiatte-St-Paul,Damiatte,Europe/Paris,81220
1038,"[{'type': 'CR-CI-CH', 'value': '0087-381038-00'}]",stop_area:OCE:SA:87381038,admin:9517extern,75116,Avenue-Foch (Paris),Paris 16e Arrondissement (75016-75116),48.871832,2.276332,Avenue-Foch,Paris 16e Arrondissement,Europe/Paris,75016;75116
1039,"[{'type': 'CR-CI-CH', 'value': '0087-381046-00'}]",stop_area:OCE:SA:87381046,admin:9517extern,75116,Avenue-Henri-Martin (Paris),Paris 16e Arrondissement (75016-75116),48.864227,2.272418,Avenue-Henri-Martin,Paris 16e Arrondissement,Europe/Paris,75016;75116
1040,"[{'type': 'CR-CI-CH', 'value': '0087-381079-BV'}]",stop_area:OCE:SA:87381079,admin:91746extern,92009,Bois-Colombes (Bois-Colombes),Bois-Colombes (92270),48.91354,2.272493,Bois-Colombes,Bois-Colombes,Europe/Paris,92270
1041,"[{'type': 'CR-CI-CH', 'value': '0087-381087-00'}]",stop_area:OCE:SA:87381087,admin:91738extern,92025,Colombes (Colombes),Colombes (92700),48.923265,2.259552,Colombes,Colombes,Europe/Paris,92700
1042,"[{'type': 'CR-CI-CH', 'value': '0087-381095-00'}]",stop_area:OCE:SA:87381095,admin:91738extern,92025,Le Stade (Colombes),Colombes (92700),48.931525,2.260754,Le Stade,Colombes,Europe/Paris,92700
1043,"[{'type': 'CR-CI-CH', 'value': '0087-381111-BV'}]",stop_area:OCE:SA:87381111,admin:9519extern,75117,Pont-Cardinet (Paris),Paris 17e Arrondissement (75017),48.887573,2.314037,Pont-Cardinet,Paris 17e Arrondissement,Europe/Paris,75017
1044,"[{'type': 'CR-CI-CH', 'value': '0087-381129-00'}]",stop_area:OCE:SA:87381129,admin:86985extern,92044,Clichy-Levallois (Levallois-Perret),Levallois-Perret (92300),48.896925,2.298398,Clichy-Levallois,Levallois-Perret,Europe/Paris,92300
1045,"[{'type': 'CR-CI-CH', 'value': '0087-381137-BV'}]",stop_area:OCE:SA:87381137,admin:91641extern,92004,Asnières (Asnières-sur-Seine),Asnières-sur-Seine (92600),48.90578,2.283341,Asnières,Asnières-sur-Seine,Europe/Paris,92600
1046,"[{'type': 'CR-CI-CH', 'value': '0087-381145-00'}]",stop_area:OCE:SA:87381145,admin:120959extern,95476,Osny (Osny),Osny (95520),49.062829,2.057656,Osny,Osny,Europe/Paris,95520
1047,"[{'type': 'CR-CI-CH', 'value': '0087-381152-00'}]",stop_area:OCE:SA:87381152,admin:562774extern,95078,Boissy-l'Aillerie (Boissy-l'Aillerie),Boissy-l'Aillerie (95650),49.075779,2.025374,Boissy-l'Aillerie,Boissy-l'Aillerie,Europe/Paris,95650
1048,"[{'type': 'CR-CI-CH', 'value': '0087-381160-00'}]",stop_area:OCE:SA:87381160,admin:562756extern,95422,Montgeroult-Courcelles (Montgeroult),Montgeroult (95650),49.080662,2.003239,Montgeroult-Courcelles,Montgeroult,Europe/Paris,95650
1049,"[{'type': 'CR-CI-CH', 'value': '0087-381178-00'}]",stop_area:OCE:SA:87381178,admin:357461extern,95625,Us (Us),Us (95450),49.099678,1.97052,Us,Us,Europe/Paris,95450
1050,"[{'type': 'CR-CI-CH', 'value': '0087-381186-00'}]",stop_area:OCE:SA:87381186,admin:557188extern,95584,Santeuil-le-Perchay (Santeuil),Santeuil (95640),49.123433,1.949377,Santeuil-le-Perchay,Santeuil,Europe/Paris,95640
1051,"[{'type': 'CR-CI-CH', 'value': '0087-381194-BV'}]",stop_area:OCE:SA:87381194,admin:333238extern,95142,Chars (Chars),Chars (95750),49.163017,1.936721,Chars,Chars,Europe/Paris,95750
1052,"[{'type': 'CR-CI-CH', 'value': '0087-381202-00'}]",stop_area:OCE:SA:87381202,admin:531619extern,60356,La Villetertre (Lavilletertre),Lavilletertre (60240),49.202478,1.920481,La Villetertre,Lavilletertre,Europe/Paris,60240
1053,"[{'type': 'CR-CI-CH', 'value': '0087-381210-00'}]",stop_area:OCE:SA:87381210,admin:375773extern,60361,Liancourt-St-Pierre (Liancourt-Saint-Pierre),Liancourt-Saint-Pierre (60240),49.220403,1.905481,Liancourt-St-Pierre,Liancourt-Saint-Pierre,Europe/Paris,60240
1054,"[{'type': 'CR-CI-CH', 'value': '0087-381228-BV'}]",stop_area:OCE:SA:87381228,admin:375151extern,60143,Chaumont-en-Vexin (Chaumont-en-Vexin),Chaumont-en-Vexin (60240),49.261418,1.871751,Chaumont-en-Vexin,Chaumont-en-Vexin,Europe/Paris,60240
