,codes,id,id_region,insee,label,label_region,lat,lon,name,region,timezone,zip_code
1471,"[{'type': 'CR-CI-CH', 'value': '0087-478016-00'}]",stop_area:OCE:SA:87478016,admin:145431extern,35274,St-Germain-sur-Ille (Saint-Germain-sur-Ille),Saint-Germain-sur-Ille (35250),48.238935,-1.653581,St-Germain-sur-Ille,Saint-Germain-sur-Ille,Europe/Paris,35250
1472,"[{'type': 'CR-CI-CH', 'value': '0087-478024-00'}]",stop_area:OCE:SA:87478024,admin:146023extern,35296,St-Médard-sur-Ille (Saint-Médard-sur-Ille),Saint-Médard-sur-Ille (35250),48.273533,-1.666571,St-Médard-sur-Ille,Saint-Médard-sur-Ille,Europe/Paris,35250
1473,"[{'type': 'CR-CI-CH', 'value': '0087-478032-00'}]",stop_area:OCE:SA:87478032,admin:139684extern,35195,Montreuil-sur-Ille (Montreuil-sur-Ille),Montreuil-sur-Ille (35440),48.306338,-1.674259,Montreuil-sur-Ille,Montreuil-sur-Ille,Europe/Paris,35440
1474,"[{'type': 'CR-CI-CH', 'value': '0087-478040-00'}]",stop_area:OCE:SA:87478040,admin:163990extern,35094,Dingé (Dingé),Dingé (35440),48.350146,-1.685827,Dingé,Dingé,Europe/Paris,35440
1475,"[{'type': 'CR-CI-CH', 'value': '0087-478057-00'}]",stop_area:OCE:SA:87478057,admin:163987extern,35085,Combourg (Combourg),Combourg (35270),48.415992,-1.727528,Combourg,Combourg,Europe/Paris,35270
1476,"[{'type': 'CR-CI-CH', 'value': '0087-478065-00'}]",stop_area:OCE:SA:87478065,admin:163986extern,35029,Bonnemain (Bonnemain),Bonnemain (35270),48.477106,-1.765849,Bonnemain,Bonnemain,Europe/Paris,35270
1477,"[{'type': 'CR-CI-CH', 'value': '0087-478073-BV'}]",stop_area:OCE:SA:87478073,admin:908147extern,35095,Dol (Dol-de-Bretagne),Dol-de-Bretagne (35120),48.542993,-1.750454,Dol,Dol-de-Bretagne,Europe/Paris,35120
1478,"[{'type': 'CR-CI-CH', 'value': '0087-478081-00'}]",stop_area:OCE:SA:87478081,admin:908148extern,35116,La Fresnais (La Fresnais),La Fresnais (35111),48.59364,-1.843136,La Fresnais,La Fresnais,Europe/Paris,35111
1479,"[{'type': 'CR-CI-CH', 'value': '0087-478099-00'}]",stop_area:OCE:SA:87478099,admin:146025extern,35299,La Gouesnière-Cancale (Saint-Méloir-des-Ondes),Saint-Méloir-des-Ondes (35350),48.614379,-1.905948,La Gouesnière-Cancale,Saint-Méloir-des-Ondes,Europe/Paris,35350
1480,"[{'type': 'CR-CI-CH', 'value': '0087-478107-00'}]",stop_area:OCE:SA:87478107,admin:905534extern,35288,St-Malo (Saint-Malo),Saint-Malo (35400),48.64667,-2.004602,St-Malo,Saint-Malo,Europe/Paris,35400
1481,"[{'type': 'CR-CI-CH', 'value': '0087-478123-00'}]",stop_area:OCE:SA:87478123,admin:908153extern,35224,Plerguer (Plerguer),Plerguer (35540),48.531556,-1.850426,Plerguer,Plerguer,Europe/Paris,35540
1482,"[{'type': 'CR-CI-CH', 'value': '0087-478131-00'}]",stop_area:OCE:SA:87478131,admin:908149extern,35179,Miniac (Miniac-Morvan),Miniac-Morvan (35540),48.531546,-1.915014,Miniac,Miniac-Morvan,Europe/Paris,35540
1483,"[{'type': 'CR-CI-CH', 'value': '0087-478149-00'}]",stop_area:OCE:SA:87478149,admin:380989extern,22197,Pleudihen (Pleudihen-sur-Rance),Pleudihen-sur-Rance (22690),48.499316,-1.961794,Pleudihen,Pleudihen-sur-Rance,Europe/Paris,22690
1484,"[{'type': 'CR-CI-CH', 'value': '0087-478156-00'}]",stop_area:OCE:SA:87478156,admin:380810extern,22327,La Hisse (Saint-Samson-sur-Rance),Saint-Samson-sur-Rance (22100),48.496089,-2.003021,La Hisse,Saint-Samson-sur-Rance,Europe/Paris,22100
1485,"[{'type': 'CR-CI-CH', 'value': '0087-478164-00'}]",stop_area:OCE:SA:87478164,admin:380973extern,22050,Dinan (Dinan),Dinan (22100),48.456986,-2.052972,Dinan,Dinan,Europe/Paris,22100
1486,"[{'type': 'CR-CI-CH', 'value': '0087-478180-00'}]",stop_area:OCE:SA:87478180,admin:367813extern,22105,Corseul-Languenan (Languenan),Languenan (22130),48.496022,-2.141389,Corseul-Languenan,Languenan,Europe/Paris,22130
1487,"[{'type': 'CR-CI-CH', 'value': '0087-478263-00'}]",stop_area:OCE:SA:87478263,admin:964557extern,50410,Pontorson-Mt-St-Michel (Pontorson),Pontorson (50170),48.552461,-1.505052,Pontorson-Mt-St-Michel,Pontorson,Europe/Paris,50170
1488,"[{'type': 'CR-CI-CH', 'value': '0087-478404-BV'}]",stop_area:OCE:SA:87478404,,,Laval,,48.076265,-0.760929,Laval,,Europe/Paris,
1489,"[{'type': 'CR-CI-CH', 'value': '0087-478511-00'}]",stop_area:OCE:SA:87478511,admin:393585extern,53140,Louverné (Louverné),Louverné (53950),48.109106,-0.713764,Louverné,Louverné,Europe/Paris,53950
1490,"[{'type': 'CR-CI-CH', 'value': '0087-478537-BV'}]",stop_area:OCE:SA:87478537,admin:919502extern,53043,Montsurs (Brée),Brée (53150),48.141117,-0.551425,Montsurs,Brée,Europe/Paris,53150
1491,"[{'type': 'CR-CI-CH', 'value': '0087-478545-BV'}]",stop_area:OCE:SA:87478545,admin:1111284extern,53163,Neau (Neau),Neau (53150),48.157263,-0.477152,Neau,Neau,Europe/Paris,53150
1492,"[{'type': 'CR-CI-CH', 'value': '0087-478552-BV'}]",stop_area:OCE:SA:87478552,admin:393617extern,53097,Evron (Évron),Évron (53600),48.155545,-0.397159,Evron,Évron,Europe/Paris,53600
1493,"[{'type': 'CR-CI-CH', 'value': '0087-478560-BV'}]",stop_area:OCE:SA:87478560,admin:1111273extern,53276,Voutré (Voutré),Voutré (53600),48.134178,-0.292311,Voutré,Voutré,Europe/Paris,53600
1494,"[{'type': 'CR-CI-CH', 'value': '0087-478743-BV'}]",stop_area:OCE:SA:87478743,admin:1930082extern,53103,Le Genest (Le Genest-Saint-Isle),Le Genest-Saint-Isle (53940),48.096788,-0.88533,Le Genest,Le Genest-Saint-Isle,Europe/Paris,53940
1495,"[{'type': 'CR-CI-CH', 'value': '0087-478750-00'}]",stop_area:OCE:SA:87478750,admin:1932981extern,53182,Port-Brillet (Port-Brillet),Port-Brillet (53410),48.110754,-0.973967,Port-Brillet,Port-Brillet,Europe/Paris,53410
1496,"[{'type': 'CR-CI-CH', 'value': '0087-478768-00'}]",stop_area:OCE:SA:87478768,admin:1943539extern,53247,St-Pierre-la-Cour (Saint-Pierre-la-Cour),Saint-Pierre-la-Cour (53410),48.11367,-1.025531,St-Pierre-la-Cour,Saint-Pierre-la-Cour,Europe/Paris,53410
1497,"[{'type': 'CR-CI-CH', 'value': '0087-481002-BV'}]",stop_area:OCE:SA:87481002,admin:59874extern,44109,Nantes (Nantes),Nantes (44000-44300),47.217516,-1.541943,Nantes,Nantes,Europe/Paris,44000;44300
1498,"[{'type': 'CR-CI-CH', 'value': '0087-481036-00'}]",stop_area:OCE:SA:87481036,admin:60966extern,44143,Rezé-Pont-Rousseau (Rezé),Rezé (44400),47.193334,-1.549388,Rezé-Pont-Rousseau,Rezé,Europe/Paris,44400
1499,"[{'type': 'CR-CI-CH', 'value': '0087-481051-00'}]",stop_area:OCE:SA:87481051,admin:59874extern,44109,Chantenay (Nantes),Nantes (44000-44300),47.197223,-1.594336,Chantenay,Nantes,Europe/Paris,44000;44300
1500,"[{'type': 'CR-CI-CH', 'value': '0087-481069-BV'}]",stop_area:OCE:SA:87481069,admin:64362extern,44162,La Basse-Indre-St-Herb. (Saint-Herblain),Saint-Herblain (44800),47.204122,-1.660333,La Basse-Indre-St-Herb.,Saint-Herblain,Europe/Paris,44800
1501,"[{'type': 'CR-CI-CH', 'value': '0087-481143-00'}]",stop_area:OCE:SA:87481143,admin:74604extern,44204,Thouaré (Thouaré-sur-Loire),Thouaré-sur-Loire (44470),47.265126,-1.440953,Thouaré,Thouaré-sur-Loire,Europe/Paris,44470
1502,"[{'type': 'CR-CI-CH', 'value': '0087-481150-00'}]",stop_area:OCE:SA:87481150,admin:77011extern,44094,Mauves-sur-Loire (Mauves-sur-Loire),Mauves-sur-Loire (44470),47.293012,-1.389314,Mauves-sur-Loire,Mauves-sur-Loire,Europe/Paris,44470
1503,"[{'type': 'CR-CI-CH', 'value': '0087-481168-00'}]",stop_area:OCE:SA:87481168,admin:109363extern,44028,Le Cellier (Le Cellier),Le Cellier (44850),47.313172,-1.350969,Le Cellier,Le Cellier,Europe/Paris,44850
1504,"[{'type': 'CR-CI-CH', 'value': '0087-481176-00'}]",stop_area:OCE:SA:87481176,admin:80329extern,44022,Boussay-la-Bruffière (Boussay),Boussay (44190),47.050467,-1.182863,Boussay-la-Bruffière,Boussay,Europe/Paris,44190
1505,"[{'type': 'CR-CI-CH', 'value': '0087-481184-00'}]",stop_area:OCE:SA:87481184,admin:109364extern,44115,Oudon (Oudon),Oudon (44521),47.343351,-1.292029,Oudon,Oudon,Europe/Paris,44521
1506,"[{'type': 'CR-CI-CH', 'value': '0087-481192-00'}]",stop_area:OCE:SA:87481192,admin:147380extern,44003,Ancenis (Ancenis),Ancenis (44150),47.36947,-1.177616,Ancenis,Ancenis,Europe/Paris,44150
1507,"[{'type': 'CR-CI-CH', 'value': '0087-481200-00'}]",stop_area:OCE:SA:87481200,admin:68343extern,44018,Bouaye (Bouaye),Bouaye (44830),47.138176,-1.681076,Bouaye,Bouaye,Europe/Paris,44830
1508,"[{'type': 'CR-CI-CH', 'value': '0087-481218-00'}]",stop_area:OCE:SA:87481218,admin:88820extern,44133,Port-St-Père-St-M. (Port-Saint-Père),Port-Saint-Père (44710),47.116507,-1.739374,Port-St-Père-St-M.,Port-Saint-Père,Europe/Paris,44710
1509,"[{'type': 'CR-CI-CH', 'value': '0087-481226-00'}]",stop_area:OCE:SA:87481226,admin:88816extern,44186,Ste-Pazanne (Sainte-Pazanne),Sainte-Pazanne (44680),47.105442,-1.813763,Ste-Pazanne,Sainte-Pazanne,Europe/Paris,44680
1510,"[{'type': 'CR-CI-CH', 'value': '0087-481234-00'}]",stop_area:OCE:SA:87481234,admin:102381extern,44164,St-Hilaire-de-Chaléons (Saint-Hilaire-de-Chaléons),Saint-Hilaire-de-Chaléons (44680),47.105755,-1.865193,St-Hilaire-de-Chaléons,Saint-Hilaire-de-Chaléons,Europe/Paris,44680
1511,"[{'type': 'CR-CI-CH', 'value': '0087-481242-00'}]",stop_area:OCE:SA:87481242,admin:92867extern,44021,Bourgneuf-en-Retz (Bourgneuf-en-Retz),Bourgneuf-en-Retz (44580),47.046865,-1.955298,Bourgneuf-en-Retz,Bourgneuf-en-Retz,Europe/Paris,44580
1512,"[{'type': 'CR-CI-CH', 'value': '0087-481259-00'}]",stop_area:OCE:SA:87481259,admin:93020extern,44106,Les Moutiers-en-Retz (Les Moutiers-en-Retz),Les Moutiers-en-Retz (44760),47.06191,-2.001159,Les Moutiers-en-Retz,Les Moutiers-en-Retz,Europe/Paris,44760
1513,"[{'type': 'CR-CI-CH', 'value': '0087-481267-00'}]",stop_area:OCE:SA:87481267,admin:93872extern,44012,La Bernerie-en-Retz (La Bernerie-en-Retz),La Bernerie-en-Retz (44760),47.0832,-2.034222,La Bernerie-en-Retz,La Bernerie-en-Retz,Europe/Paris,44760
1514,"[{'type': 'CR-CI-CH', 'value': '0087-481283-00'}]",stop_area:OCE:SA:87481283,admin:93873extern,44131,Pornic (Pornic),Pornic (44210),47.114509,-2.09782,Pornic,Pornic,Europe/Paris,44210
1515,"[{'type': 'CR-CI-CH', 'value': '0087-481366-00'}]",stop_area:OCE:SA:87481366,admin:92720extern,44087,Machecoul (Machecoul),Machecoul (44270),46.990628,-1.822655,Machecoul,Machecoul,Europe/Paris,44270
1516,"[{'type': 'CR-CI-CH', 'value': '0087-481390-BV'}]",stop_area:OCE:SA:87481390,admin:164555extern,85047,Challans (Challans),Challans (85300),46.844052,-1.871857,Challans,Challans,Europe/Paris,85300
1517,"[{'type': 'CR-CI-CH', 'value': '0087-481408-00'}]",stop_area:OCE:SA:87481408,admin:63642extern,44215,Vertou (Vertou),Vertou (44120),47.186127,-1.478038,Vertou,Vertou,Europe/Paris,44120
1518,"[{'type': 'CR-CI-CH', 'value': '0087-481416-00'}]",stop_area:OCE:SA:87481416,admin:79405extern,44070,La Haie-Fouassière (La Haie-Fouassière),La Haie-Fouassière (44690),47.161627,-1.392298,La Haie-Fouassière,La Haie-Fouassière,Europe/Paris,44690
1519,"[{'type': 'CR-CI-CH', 'value': '0087-481424-00'}]",stop_area:OCE:SA:87481424,admin:337270extern,44117,Le Pallet (Le Pallet),Le Pallet (44330),47.143835,-1.346867,Le Pallet,Le Pallet,Europe/Paris,44330
1520,"[{'type': 'CR-CI-CH', 'value': '0087-481432-00'}]",stop_area:OCE:SA:87481432,admin:86127extern,44064,Gorges (Gorges),Gorges (44190),47.100081,-1.306222,Gorges,Gorges,Europe/Paris,44190
1521,"[{'type': 'CR-CI-CH', 'value': '0087-481440-BV'}]",stop_area:OCE:SA:87481440,admin:80327extern,44043,Clisson (Clisson),Clisson (44190),47.085993,-1.286371,Clisson,Clisson,Europe/Paris,44190
1522,"[{'type': 'CR-CI-CH', 'value': '0087-481457-00'}]",stop_area:OCE:SA:87481457,admin:164905extern,85076,Cugand (Cugand),Cugand (85610),47.05832,-1.253324,Cugand,Cugand,Europe/Paris,85610
1523,"[{'type': 'CR-CI-CH', 'value': '0087-481465-BV'}]",stop_area:OCE:SA:87481465,admin:167248extern,85146,Montaigu (Vendée) (Montaigu),Montaigu (85600),46.983739,-1.316273,Montaigu (Vendée),Montaigu,Europe/Paris,85600
1524,"[{'type': 'CR-CI-CH', 'value': '0087-481564-00'}]",stop_area:OCE:SA:87481564,admin:73554extern,44035,La-Chapelle-Centre (La Chapelle-sur-Erdre),La Chapelle-sur-Erdre (44240),47.297771,-1.547941,La-Chapelle-Centre,La Chapelle-sur-Erdre,Europe/Paris,44240
1525,"[{'type': 'CR-CI-CH', 'value': '0087-481598-00'}]",stop_area:OCE:SA:87481598,admin:138782extern,44110,Nort-sur-Erdre (Nort-sur-Erdre),Nort-sur-Erdre (44390),47.441993,-1.503282,Nort-sur-Erdre,Nort-sur-Erdre,Europe/Paris,44390
1526,"[{'type': 'CR-CI-CH', 'value': '0087-481614-00'}]",stop_area:OCE:SA:87481614,admin:179312extern,44001,Abbaretz (Abbaretz),Abbaretz (44170),47.555246,-1.524204,Abbaretz,Abbaretz,Europe/Paris,44170
1527,"[{'type': 'CR-CI-CH', 'value': '0087-481622-00'}]",stop_area:OCE:SA:87481622,admin:179313extern,44075,Issé (Issé),Issé (44520),47.627054,-1.450339,Issé,Issé,Europe/Paris,44520
1528,"[{'type': 'CR-CI-CH', 'value': '0087-481648-00'}]",stop_area:OCE:SA:87481648,admin:112499extern,44036,Châteaubriant (Châteaubriant),Châteaubriant (44110),47.717012,-1.371399,Châteaubriant,Châteaubriant,Europe/Paris,44110
1529,"[{'type': 'CR-CI-CH', 'value': '0087-481689-BV'}]",stop_area:OCE:SA:87481689,admin:182415extern,44184,La Croix-de-Méan (Saint-Nazaire),Saint-Nazaire (44600),47.300567,-2.193028,La Croix-de-Méan,Saint-Nazaire,Europe/Paris,44600
1530,"[{'type': 'CR-CI-CH', 'value': '0087-481697-00'}]",stop_area:OCE:SA:87481697,admin:20842extern,44055,La Baule-les-Pins (La Baule-Escoublac),La Baule-Escoublac (44500),47.283597,-2.3648,La Baule-les-Pins,La Baule-Escoublac,Europe/Paris,44500
1531,"[{'type': 'CR-CI-CH', 'value': '0087-481705-BV'}]",stop_area:OCE:SA:87481705,admin:182415extern,44184,St-Nazaire (Saint-Nazaire),Saint-Nazaire (44600),47.286493,-2.211103,St-Nazaire,Saint-Nazaire,Europe/Paris,44600
1532,"[{'type': 'CR-CI-CH', 'value': '0087-481713-00'}]",stop_area:OCE:SA:87481713,admin:147384extern,44103,Montoir-de-Bretagne (Montoir-de-Bretagne),Montoir-de-Bretagne (44550),47.321066,-2.161666,Montoir-de-Bretagne,Montoir-de-Bretagne,Europe/Paris,44550
1533,"[{'type': 'CR-CI-CH', 'value': '0087-481721-BV'}]",stop_area:OCE:SA:87481721,admin:147391extern,44052,Donges (Donges),Donges (44480),47.308704,-2.071724,Donges,Donges,Europe/Paris,44480
1534,"[{'type': 'CR-CI-CH', 'value': '0087-481747-00'}]",stop_area:OCE:SA:87481747,admin:21507extern,44132,Pornichet (Pornichet),Pornichet (44380),47.270506,-2.344768,Pornichet,Pornichet,Europe/Paris,44380
1535,"[{'type': 'CR-CI-CH', 'value': '0087-481754-00'}]",stop_area:OCE:SA:87481754,admin:20842extern,44055,La Baule-Escoublac (La Baule-Escoublac),La Baule-Escoublac (44500),47.288645,-2.389256,La Baule-Escoublac,La Baule-Escoublac,Europe/Paris,44500
1536,"[{'type': 'CR-CI-CH', 'value': '0087-481762-00'}]",stop_area:OCE:SA:87481762,admin:20843extern,44135,Le Pouliguen (Le Pouliguen),Le Pouliguen (44510),47.282548,-2.433187,Le Pouliguen,Le Pouliguen,Europe/Paris,44510
1537,"[{'type': 'CR-CI-CH', 'value': '0087-481770-00'}]",stop_area:OCE:SA:87481770,admin:20880extern,44010,Batz-sur-Mer (Batz-sur-Mer),Batz-sur-Mer (44740),47.28086,-2.47903,Batz-sur-Mer,Batz-sur-Mer,Europe/Paris,44740
1538,"[{'type': 'CR-CI-CH', 'value': '0087-481788-00'}]",stop_area:OCE:SA:87481788,admin:20846extern,44049,Le Croisic (Le Croisic),Le Croisic (44490),47.289915,-2.507318,Le Croisic,Le Croisic,Europe/Paris,44490
1539,"[{'type': 'CR-CI-CH', 'value': '0087-481804-BV'}]",stop_area:OCE:SA:87481804,admin:77288extern,44047,Couéron (Couëron),Couëron (44220),47.221936,-1.723541,Couéron,Couëron,Europe/Paris,44220
1540,"[{'type': 'CR-CI-CH', 'value': '0087-481812-00'}]",stop_area:OCE:SA:87481812,admin:86532extern,44158,St-Etienne-de-Montluc (Saint-Étienne-de-Montluc),Saint-Étienne-de-Montluc (44360),47.27478,-1.785644,St-Etienne-de-Montluc,Saint-Étienne-de-Montluc,Europe/Paris,44360
1541,"[{'type': 'CR-CI-CH', 'value': '0087-481820-BV'}]",stop_area:OCE:SA:87481820,admin:86533extern,44045,Cordemais (Cordemais),Cordemais (44360),47.302214,-1.846637,Cordemais,Cordemais,Europe/Paris,44360
1542,"[{'type': 'CR-CI-CH', 'value': '0087-481838-BV'}]",stop_area:OCE:SA:87481838,admin:147385extern,44195,Savenay (Savenay),Savenay (44260),47.358571,-1.951055,Savenay,Savenay,Europe/Paris,44260
1543,"[{'type': 'CR-CI-CH', 'value': '0087-481846-BV'}]",stop_area:OCE:SA:87481846,admin:173697extern,44129,Pontchâteau (Pontchâteau),Pontchâteau (44160),47.435358,-2.088508,Pontchâteau,Pontchâteau,Europe/Paris,44160
1544,"[{'type': 'CR-CI-CH', 'value': '0087-484006-BV'}]",stop_area:OCE:SA:87484006,admin:178351extern,49007,Angers-St-Laud (Angers),Angers (49000-49100),47.464442,-0.55695,Angers-St-Laud,Angers,Europe/Paris,49000;49100
1545,"[{'type': 'CR-CI-CH', 'value': '0087-484048-BV'}]",stop_area:OCE:SA:87484048,admin:178351extern,49007,Angers-Maitre-Ecole (Angers),Angers (49000-49100),47.467012,-0.532493,Angers-Maitre-Ecole,Angers,Europe/Paris,49000;49100
1546,"[{'type': 'CR-CI-CH', 'value': '0087-484113-BV'}]",stop_area:OCE:SA:87484113,admin:167631extern,49129,Ecouflant (Écouflant),Écouflant (49000),47.503808,-0.51936,Ecouflant,Écouflant,Europe/Paris,49000
1547,"[{'type': 'CR-CI-CH', 'value': '0087-484139-00'}]",stop_area:OCE:SA:87484139,admin:167632extern,49048,Le Vieux-Briollay (Briollay),Briollay (49125),47.573631,-0.483077,Le Vieux-Briollay,Briollay,Europe/Paris,49125
1548,"[{'type': 'CR-CI-CH', 'value': '0087-484147-00'}]",stop_area:OCE:SA:87484147,admin:906086extern,49347,Tiercé (Tiercé),Tiercé (49125),47.61754,-0.469434,Tiercé,Tiercé,Europe/Paris,49125
1549,"[{'type': 'CR-CI-CH', 'value': '0087-484154-00'}]",stop_area:OCE:SA:87484154,admin:906139extern,49132,Etriché-Chateauneuf (Étriché),Étriché (49330),47.656726,-0.460849,Etriché-Chateauneuf,Étriché,Europe/Paris,49330
1550,"[{'type': 'CR-CI-CH', 'value': '0087-484170-00'}]",stop_area:OCE:SA:87484170,admin:167638extern,49220,Morannes (Morannes),Morannes (49640),47.739029,-0.418191,Morannes,Morannes,Europe/Paris,49640
1551,"[{'type': 'CR-CI-CH', 'value': '0087-484204-00'}]",stop_area:OCE:SA:87484204,admin:157712extern,49063,Chalonnes (Chalonnes-sur-Loire),Chalonnes-sur-Loire (49290),47.343012,-0.743768,Chalonnes,Chalonnes-sur-Loire,Europe/Paris,49290
1552,"[{'type': 'CR-CI-CH', 'value': '0087-484246-00'}]",stop_area:OCE:SA:87484246,admin:2678426extern,49092,Chemillé (Chemillé-Melay),Chemillé-Melay (49120),47.217603,-0.732099,Chemillé,Chemillé-Melay,Europe/Paris,49120
1553,"[{'type': 'CR-CI-CH', 'value': '0087-484303-BV'}]",stop_area:OCE:SA:87484303,admin:286516extern,49099,Cholet (Cholet),Cholet (49300),47.065736,-0.869622,Cholet,Cholet,Europe/Paris,49300
1554,"[{'type': 'CR-CI-CH', 'value': '0087-484329-00'}]",stop_area:OCE:SA:87484329,admin:324725extern,49329,Savennières-Béhuard (Savennières),Savennières (49170),47.381578,-0.654544,Savennières-Béhuard,Savennières,Europe/Paris,49170
1555,"[{'type': 'CR-CI-CH', 'value': '0087-484337-00'}]",stop_area:OCE:SA:87484337,admin:161034extern,49247,La Possonnière (La Possonnière),La Possonnière (49170),47.3715,-0.691744,La Possonnière,La Possonnière,Europe/Paris,49170
1556,"[{'type': 'CR-CI-CH', 'value': '0087-484352-00'}]",stop_area:OCE:SA:87484352,admin:324318extern,49068,Champtocé-sur-Loire (Champtocé-sur-Loire),Champtocé-sur-Loire (49123),47.410331,-0.86807,Champtocé-sur-Loire,Champtocé-sur-Loire,Europe/Paris,49123
1557,"[{'type': 'CR-CI-CH', 'value': '0087-484360-BV'}]",stop_area:OCE:SA:87484360,admin:319092extern,49160,Ingrandes-sur-Loire (Ingrandes),Ingrandes (49123),47.405942,-0.920797,Ingrandes-sur-Loire,Ingrandes,Europe/Paris,49123
1558,"[{'type': 'CR-CI-CH', 'value': '0087-484386-BV'}]",stop_area:OCE:SA:87484386,admin:147393extern,44213,Varades-St-Florent Le V (Varades),Varades (44370),47.374554,-1.019809,Varades-St-Florent Le V,Varades,Europe/Paris,44370
1559,"[{'type': 'CR-CI-CH', 'value': '0087-485003-BV'}]",stop_area:OCE:SA:87485003,admin:117858extern,17300,La Rochelle-Ville (La Rochelle),La Rochelle (17000),46.152696,-1.145317,La Rochelle-Ville,La Rochelle,Europe/Paris,17000
1560,"[{'type': 'CR-CI-CH', 'value': '0087-485102-00'}]",stop_area:OCE:SA:87485102,admin:117868extern,17010,Angoulins-sur-Mer (Angoulins),Angoulins (17690),46.107746,-1.115443,Angoulins-sur-Mer,Angoulins,Europe/Paris,17690
1561,"[{'type': 'CR-CI-CH', 'value': '0087-485110-00'}]",stop_area:OCE:SA:87485110,admin:117869extern,17094,Chatelaillon-Plage (Châtelaillon-Plage),Châtelaillon-Plage (17340),46.078559,-1.091225,Chatelaillon-Plage,Châtelaillon-Plage,Europe/Paris,17340
1562,"[{'type': 'CR-CI-CH', 'value': '0087-485136-00'}]",stop_area:OCE:SA:87485136,admin:1112950extern,17353,St-Laurent-Fouras (Saint-Laurent-de-la-Prée),Saint-Laurent-de-la-Prée (17450),45.992474,-1.027009,St-Laurent-Fouras,Saint-Laurent-de-la-Prée,Europe/Paris,17450
1563,"[{'type': 'CR-CI-CH', 'value': '0087-485144-BV'}]",stop_area:OCE:SA:87485144,admin:117888extern,17299,Rochefort (Rochefort),Rochefort (17300),45.94741,-0.963804,Rochefort,Rochefort,Europe/Paris,17300
1564,"[{'type': 'CR-CI-CH', 'value': '0087-485151-00'}]",stop_area:OCE:SA:87485151,admin:1085441extern,17449,Tonnay-Charente (Tonnay-Charente),Tonnay-Charente (17430),45.943372,-0.897849,Tonnay-Charente,Tonnay-Charente,Europe/Paris,17430
1565,,stop_area:OCE:SA:87485193,,,gare de Aigrefeuille-le-Thou,,0.0,0.0,gare de Aigrefeuille-le-Thou,,Europe/Paris,
1566,"[{'type': 'CR-CI-CH', 'value': '0087-485227-BV'}]",stop_area:OCE:SA:87485227,admin:117877extern,17434,Surgères (Surgères),Surgères (17700),46.113411,-0.762148,Surgères,Surgères,Europe/Paris,17700
1567,"[{'type': 'CR-CI-CH', 'value': '0087-485250-BV'}]",stop_area:OCE:SA:87485250,admin:150119extern,79170,Mauzé (Mauzé-sur-le-Mignon),Mauzé-sur-le-Mignon (79210),46.199683,-0.673611,Mauzé,Mauzé-sur-le-Mignon,Europe/Paris,79210
1568,"[{'type': 'CR-CI-CH', 'value': '0087-485268-00'}]",stop_area:OCE:SA:87485268,admin:150550extern,79220,Prin-Deyrançon (Prin-Deyrançon),Prin-Deyrançon (79210),46.219005,-0.636479,Prin-Deyrançon,Prin-Deyrançon,Europe/Paris,79210
1569,"[{'type': 'CR-CI-CH', 'value': '0087-485300-BV'}]",stop_area:OCE:SA:87485300,admin:150303extern,79191,Niort (Niort),Niort (79000),46.319341,-0.454404,Niort,Niort,Europe/Paris,79000
1570,"[{'type': 'CR-CI-CH', 'value': '0087-485326-00'}]",stop_area:OCE:SA:87485326,admin:149613extern,79125,Fors (Fors),Fors (79230),46.234534,-0.406939,Fors,Fors,Europe/Paris,79230
1571,"[{'type': 'CR-CI-CH', 'value': '0087-485334-00'}]",stop_area:OCE:SA:87485334,admin:150107extern,79166,Marigny (Deux-Sèvres) (Marigny),Marigny (79360),46.199022,-0.428645,Marigny (Deux-Sèvres),Marigny,Europe/Paris,79360
1572,"[{'type': 'CR-CI-CH', 'value': '0087-485342-00'}]",stop_area:OCE:SA:87485342,admin:146563extern,79031,Beauvoir-sur-Niort (Beauvoir-sur-Niort),Beauvoir-sur-Niort (79360),46.176697,-0.469179,Beauvoir-sur-Niort,Beauvoir-sur-Niort,Europe/Paris,79360
1573,"[{'type': 'CR-CI-CH', 'value': '0087-485359-00'}]",stop_area:OCE:SA:87485359,admin:150553extern,79078,Prissé-la-Charrière (Prissé-la-Charrière),Prissé-la-Charrière (79360),46.15275,-0.493687,Prissé-la-Charrière,Prissé-la-Charrière,Europe/Paris,79360
1574,"[{'type': 'CR-CI-CH', 'value': '0087-485474-00'}]",stop_area:OCE:SA:87485474,admin:149757extern,79048,La Crèche (La Crèche),La Crèche (79260),46.360418,-0.29629,La Crèche,La Crèche,Europe/Paris,79260
1575,"[{'type': 'CR-CI-CH', 'value': '0087-485490-BV'}]",stop_area:OCE:SA:87485490,admin:154171extern,79270,St-Maixent (Deux-Sèvr.) (Saint-Maixent-l'École),Saint-Maixent-l'École (79400),46.406304,-0.201318,St-Maixent (Deux-Sèvr.),Saint-Maixent-l'École,Europe/Paris,79400
1576,"[{'type': 'CR-CI-CH', 'value': '0087-485508-00'}]",stop_area:OCE:SA:87485508,admin:151730extern,79246,La Mothe-St-Héray (Sainte-Eanne),Sainte-Eanne (79800),46.380918,-0.129884,La Mothe-St-Héray,Sainte-Eanne,Europe/Paris,79800
