Date	Open	High	Low	Close	Volume	Adj Close
20/03/2007	78.00	78.67	77.27	78.43	3781600	75.85
19/03/2007	77.34	78.37	77.07	78.00	5396500	75.43
16/03/2007	76.94	77.08	75.53	76.20	6927200	73.69
15/03/2007	76.86	77.01	75.30	76.60	8027700	74.08
14/03/2007	76.19	76.62	75.21	75.43	11181800	72.95
13/03/2007	79.40	79.94	78.00	78.12	5254400	75.55
12/03/2007	80.83	81.00	79.41	79.50	4749600	76.89
09/03/2007	80.01	80.60	79.10	80.42	5710200	77.77
08/03/2007	79.31	80.57	79.07	80.24	7049800	77.60
07/03/2007	78.47	78.64	77.74	78.36	5470600	75.78
06/03/2007	78.40	78.49	77.51	78.17	6026000	75.60
05/03/2007	76.00	77.82	75.57	77.44	7444900	74.89
02/03/2007	78.81	79.19	76.68	77.27	7501300	74.73
01/03/2007	78.80	79.60	75.91	78.38	10669200	75.80
28/02/2007	79.14	80.23	77.25	78.94	8918000	76.34
27/02/2007	81.97	81.97	80.20	80.35	6420000	77.71
26/02/2007	82.60	83.12	82.15	82.30	3315200	79.59
23/02/2007	82.17	82.37	80.84	82.31	5764200	79.60
22/02/2007	82.89	83.09	81.55	81.71	5572400	79.02
21/02/2007	83.11	83.42	81.99	82.22	4354500	79.52
20/02/2007	83.14	83.25	82.16	82.79	3977900	80.07
19/02/2007	83.48	83.53	82.86	83.00	3687100	80.27
16/02/2007	83.80	83.85	82.30	83.15	7369300	80.42
15/02/2007	85.00	85.20	83.20	83.70	15541100	80.95
14/02/2007	86.45	87.30	85.95	87.00	4253100	84.14
13/02/2007	86.45	86.60	85.90	86.60	2660300	83.75
12/02/2007	86.55	86.65	85.55	86.00	3318300	83.17
09/02/2007	87.40	87.85	86.80	87.25	2629200	84.38
08/02/2007	87.40	87.45	86.40	86.95	3588200	84.09
07/02/2007	87.10	87.75	86.80	87.65	3162100	84.77
06/02/2007	87.05	87.75	86.85	86.90	2624300	84.04
05/02/2007	86.50	86.95	86.20	86.80	3551700	83.95
