Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11
1	-0.3547977109312332	1.0	1.0	-8.0	-3.3223500479777544	-8.0	7.133538908370217	-8.0	-8.0	-3.3223500479777544	-3.3223500479777544	229.90371158847333
0	-230.25850929940455	1.0	1.0	-8.0	5.778151250383651	-8.0	5.778151250383651	-8.0	-8.0	5.778151250383651	5.778151250383651	5.699030873124485
1	-14.487779857762435	0.6666666666666666	0.6666666666666666	-8.0	-2.5321623406439393	-8.0	7.161440286549153	-8.0	-8.0	-3.1349061245099583	-1.9294185567779198	2.255133690588613
0	-16.742913548351048	0.3333333333333333	1.0	-8.0	-2.9648123188214015	-8.0	8.040100104621214	-8.0	-8.0	-3.558110232173603	-1.9294185567779198	1.138526109780539
1	-0.483140573897521	1.0	0.25	-8.0	-2.510670038783179	-8.0	6.724275869600789	-8.0	-8.0	-2.510670038783179	-2.510670038783179	1.7468738262616894
0	-2.2300144001592104	0.5	0.75	-8.0	-2.3576934230885223	-8.0	8.936826381077916	-8.0	-8.0	-3.277655486277654	-0.9472936810654013	0.33557874002079435
0	-10.2329528096416	0.5	0.6666666666666666	-8.0	-2.8441601549057927	-8.0	9.3643822412921	-8.0	-8.0	-3.277655486277654	-1.9322019338656247	2.5620480481878936
0	-12.795000857829493	0.3333333333333333	0.8333333333333334	-8.0	-3.0154807413223255	-8.0	9.979153920880744	-8.0	-8.0	-3.1407329359600893	-2.826709101055728	0.16906265471219228
0	-2.50972272012739	0.5	0.5	-8.0	-3.1300555401969836	-8.0	7.313989994914993	-8.0	-8.0	-3.315877428062578	-2.94423365233139	0.15119529408294952
1	-2.6609180142103397	0.5	0.75	-8.0	-3.244084075848832	-8.0	9.267930282882679	-8.0	-8.0	-3.530276724778527	-2.9243200164903147	0.18438344593784528
0	-3.97780079117381	0.6666666666666666	0.6666666666666666	-8.0	-2.556623091887711	-8.0	7.46972967289993	-8.0	-8.0	-2.787097515255803	-2.326148668519618	0.2177044682125504
0	-4.19550525938636	0.6666666666666666	0.6666666666666666	-8.0	-2.7706921358565535	-8.0	8.030029951639346	-8.0	-8.0	-3.215235603193489	-2.326148668519618	4.240048858972754
1	-9.618461395302592	0.3333333333333333	1.0	-8.0	-2.8802252545928346	-8.0	9.222522305814037	-8.0	-8.0	-3.277655486277654	-2.265980848379215	0.9705725460381949
0	-10.589033941340787	0.3333333333333333	1.0	-8.0	-2.8802252545928346	-8.0	9.222522305814037	-8.0	-8.0	-3.277655486277654	-2.265980848379215	0.33753487089416545
0	-3.849343414992616	0.5	0.75	-8.0	-2.7971486553555516	-8.0	9.645892334089899	-8.0	-8.0	-3.277655486277654	-2.5054222207933505	0.030491611160223808
1	-3.87983502615284	0.25	1.0	-8.0	-2.8278828879581637	-8.0	10.222513157861696	-8.0	-8.0	-3.277655486277654	-2.490789667051903	3.6603417968539507
0	-1.8375645702380368	0.6666666666666666	0.6666666666666666	-8.0	-2.5837823765195407	-8.0	9.349960650004444	-8.0	-8.0	-3.277655486277654	-1.8899092667614275	4.2811770490370815
1	-6.118741619275118	0.3333333333333333	1.0	-8.0	-2.702066189110647	-8.0	9.57580310086046	-8.0	-8.0	-3.277655486277654	-2.384815506221246	4.379531533644654
1	-2.946099416918132	0.4	0.6	-8.0	-1.7750823604223347	-8.0	8.573660764498994	-8.0	-8.0	-3.277655486277654	0.21260786696726702	2.6987655158930806
0	-5.644864932811212	0.4	0.8	-8.0	-2.1194762112267864	-8.0	9.559570267009677	-8.0	-8.0	-3.277655486277654	0.21260786696726702	3.138517427466229
0	-9.860118011204664	0.2	1.0	-8.0	-3.121071412744649	-8.0	10.045417256911247	-8.0	-8.0	-4.463149859512769	-2.354875389238147	2.7311107029000894
1	-12.591228714104753	0.2	1.0	-8.0	-3.121071412744649	-8.0	10.045417256911247	-8.0	-8.0	-4.463149859512769	-2.354875389238147	0.5882944925752209
0	-7.552046072521911	0.25	1.0	-8.0	-2.974645543428432	-8.0	10.004777779325934	-8.0	-8.0	-3.277655486277654	-2.6065850979708967	2.731110702900086
1	-10.283156775421997	0.25	1.0	-8.0	-2.974645543428432	-8.0	10.004777779325934	-8.0	-8.0	-3.277655486277654	-2.6065850979708967	0.7492643684793556
0	-11.491256264516885	0.25	1.0	-8.0	-3.029015211836807	-8.0	9.818691354535062	-8.0	-8.0	-3.277655486277654	-2.8167473698756846	1.9265633846956849
0	-13.41781964921257	0.5	0.75	-8.0	-3.127266387850886	-8.0	8.670652763990338	-8.0	-8.0	-3.277655486277654	-2.8809250552337993	0.8045473182043956
0	-2.391816226721988	1.0	0.5	-8.0	-0.709693900432936	-8.0	6.204119982655927	-8.0	-8.0	-0.709693900432936	-0.709693900432936	2.4441836121815945
1	-4.835999838903582	0.5	1.0	-8.0	-2.7165834632979697	-8.0	8.633464392104823	-8.0	-8.0	-3.277655486277654	-2.1555114403182856	6.859403139424906
1	-10.897868335706582	0.2	1.0	-8.0	-2.6895994151063123	-8.0	9.920785462873392	-8.0	-8.0	-3.277655486277654	-2.3866088818209703	0.008042424043905427
0	-10.905910759750487	0.2	1.0	-8.0	-2.6895994151063123	-8.0	9.920785462873392	-8.0	-8.0	-3.277655486277654	-2.3866088818209703	0.49155031692180806
1	-2.466925218194344	0.6666666666666666	0.6666666666666666	-8.0	-2.4002127501432717	-8.0	8.864554844568186	-8.0	-8.0	-3.277655486277654	-1.5227700140088891	3.934508986856974
0	-6.401434205051318	0.6666666666666666	0.6666666666666666	-8.0	-2.5585406680825935	-8.0	8.883268093538499	-8.0	-8.0	-3.277655486277654	-1.8394258498875333	0.46949748539594083
1	-1.5322766786982167	1.0	0.5	-8.0	-2.18962999263802	-8.0	5.602059991327973	-8.0	-8.0	-2.18962999263802	-2.18962999263802	3.226671446850656
0	-4.758948125548873	1.0	0.5	-8.0	-2.18962999263802	-8.0	5.602059991327973	-8.0	-8.0	-2.18962999263802	-2.18962999263802	7.949089911680012
1	-1.4404897992960992	0.5	0.75	-8.0	-3.0550863047971326	-8.0	8.571783384544984	-8.0	-8.0	-3.2159367064019126	-2.896958888338415	2.996512186219138
0	-4.437001985515237	0.5	0.5	-8.0	-2.8870290421824243	-8.0	6.893375711072782	-8.0	-8.0	-2.896958888338415	-2.8770991960264336	0.3104518005610677
1	-0.5158029021718008	0.6666666666666666	0.6666666666666666	-8.0	-2.643787642980829	-8.0	8.078557863347513	-8.0	-8.0	-3.05236331965107	-2.235211966310588	4.382852140038032
