Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
0	-0.00731917612367837	0	0.5	-8	-2.00763380792114	-1.42090489284049	10.990926964478	-1.52063127681158	-1.3211785088694	-2.16940830819987	-1.84585930764242	-1.46820244550256	0	2	-1e+300	0.608573818095507	6.26167719818613
1	-1.46820244550256	0	0.75	-8	-2.00694185144193	-1.42116033348432	12.2914334383145	-1.53060079266918	-1.3211785088694	-2.1226388562322	-1.84585930764242	-7.54040589385785	0	2	-1e+300	0.702481256759041	8.47525488790878
1	-1.46820244550256	0	0.75	-8	-2.00694185144193	-1.42116033348432	12.2914334383145	-1.53060079266918	-1.3211785088694	-2.1226388562322	-1.84585930764242	-7.54040589385785	0	2	-1e+300	0.702481256759041	8.47525488790878
1	-0.850186039703839	0	0.5	-8	-2.02649205037173	-1.51390062821555	10.8728823701125	-1.70662274756171	-1.3211785088694	-2.20712479310105	-1.84585930764242	-4.51297889364901	0	2	-1e+300	0.608573818095507	3.89711043132172
0	-4.51297889364901	0	0.75	-8	-1.93064986164401	-1.66481193319107	12.0897163476234	-2.41578106141096	-1.25747622929286	-1.98539714794614	-1.84585930764242	-8.38327275743801	0	2	-1e+300	0.0580328841177249	-4.2559130395675
0	-8.38327275743801	0	0.5	-8	-2.06965184478307	-1.85893523606912	10.8801840966099	-2.01124772457654	-1.70662274756171	-2.20712479310105	-1.93217889646509	-12.0460656113832	0	1	-1e+300	-1e+300	-8.12452999687933
1	-0.112009397316106	1	1.0	-8	-1.40964155853612	-0.97672861642511	10.462397997899	-0.97672861642511	-0.97672861642511	-1.40964155853612	-1.40964155853612	-230.258509299405	0	2	-1e+300	0.434825676003193	12.2594007304325
0	-230.258509299405	1	1.0	-8	8.30102999566398	8.30102999566398	8.30102999566398	8.30102999566398	8.30102999566398	8.30102999566398	8.30102999566398	-233.443483572597	0	2	-1e+300	-1e+300	-2.29633131899624
0	-233.443483572597	1	1.0	-8	10.462397997899	9.07918124604762	10.462397997899	9.07918124604762	9.07918124604762	10.462397997899	10.462397997899	-237.716456793259	0	1	-1e+300	-1e+300	-6.62072953690375
0	-0.914512767697164	0	0.5	-8	-1.88912417220731	-1.66992513644585	10.6892352900677	-2.47431110449705	-0.865539168394665	-2.63100057238498	-1.14724777202963	-1.31485135781165	0	2	-1e+300	0.227868812802599	0.0649516340186726
0	-1.31485135781165	0	0.5	-8	-2.2412355887211	-2.05647207272436	10.8656170471479	-2.47431110449705	-1.63863304095167	-2.63100057238498	-1.85147060505722	-3.29753065827132	0	2	-1e+300	0.126275741389801	1.44891987906729
1	-3.29753065827132	0	0.75	-8	-2.07159143171475	-1.85731942236376	11.0204642531634	-2.47431110449705	-1.10215963124494	-2.63100057238498	-1.47296516590156	-6.81911954008776	0	2	-1e+300	0.016009896833151	5.63942266553313
1	0.0	0	0.6	-8	-2.1761996371909	-1.9071289820967	10.6583714682715	-2.45127963631831	-1.13830263849028	-2.62433304779402	-1.56229270595389	-0.693147180559945	0	2	-1e+300	0.126275741389801	1.66429049316215
0	-0.693147180559945	1	0.2	-8	-2.23172364286342	-1.97081120483059	8.60205999132796	-1.97081120483059	-1.97081120483059	-2.23172364286342	-2.23172364286342	-1.35277298781374	0	6	-1e+300	0.368992129653471	-1.86663761317175
0	-1.35277298781374	0	0.6	-8	-2.47730252634832	-2.10507799172605	11.0770120034547	-2.73240816941393	-1.13154616944591	-3.12835585679138	-1.67921867445956	-2.42957659589704	0	2	-1e+300	0.250624827420627	-4.97893184553044
1	-1.10962535186265	0	1.0	-8	-1.88471206682455	-1.53912064193115	10.8454788215225	-2.05102333509977	-1.02721794876254	-2.18127111230285	-1.58815302134625	-3.40645117332602	0	4	-1e+300	0.710166889508305	-1.30304086697249
0	-3.40645117332602	0	1.0	-8	-2.1033901546883	-1.686038449335	11.0355844423783	-2.34485894990746	-1.02721794876254	-2.61862728803035	-1.58815302134625	-232.036724890684	0	2	-1e+300	-1e+300	2.51409138907636
0	-232.036724890684	0	1.0	-8	-5.09063555615142	-5.02551166754988	0.58804562952784	-8.0	-2.05102333509977	-8.0	-2.18127111230285	-233.808980514286	0	4	-1e+300	-1e+300	-11.1091456170844
1	-0.425201373106846	0	1.0	-8	-2.20938516453105	-1.84470290997379	10.8553421011268	-2.35372295695696	-1.33568286299062	-2.46419010598029	-1.95458022308181	-2.08218370896255	0	4	-1e+300	0.126275741389801	0.953991315856838
0	-2.08218370896255	0	1.0	-8	-2.26947313058055	-1.77784479715542	11.2515379458759	-2.22000673132021	-1.33568286299062	-2.58436603807929	-1.95458022308181	-30.2850353100065	0	2	-1e+300	0.0186367109386609	3.28772831118076
0	-30.2850353100065	0	1.0	-8	-2.21039461320619	-1.78516428983236	10.8553738040766	-2.35372295695696	-1.21660562270775	-2.46419010598029	-1.9565991204321	-31.5330100250718	0	4	-1e+300	-1e+300	-11.8996058952233
0	-0.851128525542872	0	0.5	-8	-1.58667118731014	-1.14650851521414	11.5636234627619	-1.97424975717997	-0.318767273248316	-2.55099673011919	-0.622345644501091	-1.56352101818114	0	1	-1e+300	0.597817134204341	3.28300584755751
1	-1.56352101818114	0	0.5	-8	-1.40734583677804	-1.05361636281551	12.073988345154	-1.7884654523827	-0.318767273248316	-2.19234602905499	-0.622345644501091	-11.9781528258401	0	2	-1e+300	0.703769042804169	4.4998480722403
0	-11.9781528258401	0	0.5	-8	-1.40734583677804	-1.58660258338922	12.073988345154	-2.85443789353012	-0.318767273248316	-2.19234602905499	-0.622345644501091	-12.6358177118445	0	2	-1e+300	-1e+300	-13.266233540446
0	-0.102983895655576	0	0.5	-8	-1.64232005088053	-1.41560688939952	10.4551974629056	-1.50592534418172	-1.32528843461731	-1.77518032619138	-1.50945977556967	-1.66348365717312	0	1	-1e+300	0.710166889508305	5.18285795892207
