Date,Open,High,Low,Close,Volume,Adj Close
2008-03-25,64.17,64.97,63.35,64.25,8312800,53.19
2008-03-24,61.51,61.51,61.51,61.51,000,50.92
2008-03-21,61.51,61.51,61.51,61.51,000,50.92
2008-03-20,60.00,61.67,58.68,61.51,10873200,50.92
2008-03-19,62.00,62.79,59.73,60.76,18841100,50.30
2008-03-18,54.92,58.30,54.80,58.06,9378800,48.07
2008-03-17,54.01,54.89,52.12,53.85,12304500,44.58
2008-03-14,57.94,59.69,55.55,56.50,8453800,46.77
2008-03-13,57.91,58.27,56.42,57.94,6890000,47.97
2008-03-12,59.75,61.48,59.22,59.54,8090600,49.29
2008-03-11,56.52,59.15,55.82,58.22,7678700,48.20
2008-03-10,57.00,57.71,55.54,56.06,4710600,46.41
2008-03-07,57.05,58.24,56.20,57.45,6173000,47.56
2008-03-06,59.39,59.52,57.49,57.90,4910000,47.93
2008-03-05,59.25,60.10,58.46,59.86,4320900,49.56
2008-03-04,58.48,59.71,57.52,58.41,5696200,48.36
2008-03-03,59.00,59.48,58.05,58.68,5046800,48.58
2008-02-29,60.52,61.11,59.10,59.57,8130100,49.32
2008-02-28,63.44,63.79,60.75,61.36,9525800,50.80
2008-02-27,64.95,64.95,62.52,63.92,5648500,52.92
2008-02-26,64.93,65.11,62.91,64.97,8055700,53.79
2008-02-25,62.16,64.53,62.11,64.24,7667500,53.18
2008-02-22,61.24,63.53,60.63,61.20,5815200,50.67
2008-02-21,60.36,62.43,60.03,61.69,8499100,51.07
2008-02-20,59.15,61.30,58.52,59.69,8355000,49.42
2008-02-19,61.75,61.75,59.26,59.99,6519200,49.66
2008-02-18,60.99,60.99,59.04,60.44,3382100,50.04
2008-02-15,60.55,60.99,58.65,59.11,6993100,48.93
2008-02-14,62.11,62.80,60.50,61.15,4520400,50.62
2008-02-13,59.76,62.10,59.45,61.19,4993600,50.66
2008-02-12,59.28,60.70,57.50,60.67,7501900,50.23
2008-02-11,58.15,59.46,57.88,58.48,4548300,48.41
2008-02-08,61.01,61.60,58.45,59.08,6942400,48.91
2008-02-07,61.31,61.31,59.64,60.30,4817700,49.92
2008-02-06,60.52,61.68,59.39,61.45,8222600,50.87
2008-02-05,64.50,64.71,61.28,61.44,8788000,50.86
2008-02-04,66.11,66.11,64.66,65.20,3717500,53.98
2008-02-01,66.11,66.75,64.23,65.28,9027000,54.04
2008-01-31,66.50,67.10,64.06,65.83,7368900,54.50
2008-01-30,66.50,68.50,65.15,66.83,8451500,55.33
2008-01-29,66.35,68.68,65.76,67.60,7358300,55.96
