Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13
1	-4.23043873217383	0	1.0	-8	-2.90383492885484	-2.56128716632786	10.9746377538366	-2.70345190435859	-2.45796680731035	-3.1927352797645	-2.65465579381917	-7.33134143702289	0	4
0	-7.33134143702289	0	1.0	-8	-2.90383492885484	-2.25496832576694	10.9746377538366	-2.70345190435859	-1.53901028562761	-3.1927352797645	-2.65465579381917	-18.9654126362613	0	4
0	-18.9654126362613	0	1.0	-8	-2.88954218905244	-1.96909720767549	11.0017260822045	-2.52244278731462	-0.926882028401483	-3.14985706035729	-2.65465579381917	-21.8025232386124	0	4
0	-21.8025232386124	0	1.0	-8	-2.88954218905244	-2.12199206823971	11.0017260822045	-2.52244278731462	-1.38556661009415	-3.14985706035729	-2.65465579381917	-22.0663153411104	0	4
0	-22.0663153411104	0	1.0	-8	-2.88954218905244	-1.66277836711457	11.0017260822045	-2.52244278731462	-0.926882028401483	-3.14985706035729	-2.65465579381917	-24.9034259434614	0	4
1	-2.46928638534307	0	0.4	-8	-2.31577297342329	-2.09280212982539	9.55730549211609	-2.31716667281444	-1.86843758683634	-2.49116016631022	-2.14038578053636	-4.23792672515755	0	5
0	-4.23792672515755	0	1.0	-8	-2.67261358959106	-2.42132043231307	11.979749079349	-2.70459665208611	-2.05211309427468	-3.06475744578564	-2.36771690008631	-4.92161317870946	0	5
0	-4.92161317870946	0	0.4	-8	-2.61240392485915	-2.05931638969564	8.91942454536863	-2.84880163494974	-1.26983114444155	-3.10686498989115	-2.11794285982714	-6.08700634070186	0	5
0	-6.08700634070186	0	0.6	-8	-2.557953490641	-2.09719815644736	11.1405289873034	-2.70459665208611	-1.26983114444155	-3.06475744578564	-2.11794285982714	-6.19521727412395	0	5
0	-6.19521727412395	0	0.6	-8	-2.48793653725579	-2.22024415007241	9.93347979029584	-2.31716667281444	-2.05197580165604	-2.53755885800708	-2.43509058745006	-7.60977947311823	0	5
1	-2.0374588277821	0	1.0	-8	-2.59463142786644	-2.55728102954305	9.92848521674124	-2.5612323506318	-2.5533297084543	-2.73569329376988	-2.45356956196301	-3.59392310451779	0	5
0	-3.59392310451779	0	1.0	-8	-2.59463142786644	-2.18580478063212	9.92848521674124	-2.5533297084543	-1.81827985280995	-2.73569329376988	-2.45356956196301	-230.951656479965	0	5
0	-230.951656479965	1	0.5	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-236.761126739082	0	5
0	-236.761126739082	0	1.0	-8	-5.36784664688494	-5.27666485422715	0.909771967770934	-8.0	-2.5533297084543	-8.0	-2.73569329376988	-236.980522956587	0	5
0	-236.980522956587	0	1.0	-8	-5.36784664688494	-5.27666485422715	0.909771967770934	-8.0	-2.5533297084543	-8.0	-2.73569329376988	-238.514083960724	0	5
1	-14.5301730988006	0	0.666666666666667	-8	-2.5066870097982	-0.721803467771182	10.1869155725369	-1.12859130262412	-0.315015632918247	-3.14489020758909	-1.86848381200732	-16.7477399943522	0	1
0	-16.7477399943522	0	1.0	-8	-2.95610453487865	-1.55685252439999	11.0488074418543	-2.31390807801138	-0.315015632918247	-3.59846506234077	-1.86848381200732	-17.9217640869635	0	1
