Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
0	-4.75894812554887	1	0.5	-8	-2.18962998562898	-1.68124102895952	8.60205999132796	-1.68124102895952	-1.68124102895952	-2.18962998562898	-2.18962998562898	-13.1810353680177	0	1	-10	-10	-6.42631801958375
0	-8.39049562846883	0	1.0	-8	-2.91594527023491	-2.1577756004083	13.0968419292855	-2.68943004054037	-1.65054482364363	-3.27565370898452	-2.53751601904332	-10.8633576522384	0	1	-10	-10	-8.45048470669387
0	-10.8633576522384	0	0.75	-8	-2.86877678512225	-2.25678918367596	12.4384696596788	-2.68943004054037	-1.65054482364363	-3.27565370898452	-2.61786714429156	-11.1220111155049	0	1	-10	-10	-9.27205554944586
1	-11.1220111155049	0	1.0	-8	-2.91594527023491	-3.03661575977469	13.0968419292855	-5.58947592548175	-1.65054482364363	-3.27565370898452	-2.53751601904332	-11.5083654896894	0	1	-10	0.0455005495151571	9.88874989234894
1	-0.0899824749895445	0	1.0	-8	-3.17792829283238	-2.47347272913006	12.6116299870824	-2.7988554547663	-2.05671146643455	-3.3598197326536	-3.04534049460098	-0.467260309495087	0	2	-10	0.206697486983269	-0.580135167149676
0	-0.467260309495087	1	0.333333333333333	-8	-0.204673569786826	0.018483409808796	9.99122607569249	0.018483409808796	0.018483409808796	-0.204673569786826	-0.204673569786826	-3.90052040270775	0	4	-10	0.710166889508305	5.03584755541227
0	-3.90052040270775	0	1.0	-8	-3.16411963274474	-2.41649185970686	12.671259402828	-2.62791284649669	-2.05671146643455	-3.3598197326536	-3.04534049460098	-5.81959273463987	0	2	-10	0.0964316424266189	3.62616391106986
1	-1.6371667760227	1	0.5	-8	-2.81039774948466	-2.41747055753301	8.60205999132796	-2.41747055753301	-2.41747055753301	-2.81039774948466	-2.81039774948466	-4.42551174661362	0	2	-10	0.505350982822995	7.23002490701715
1	-1.6371667760227	1	0.5	-8	-2.81039774948466	-2.41747055753301	8.60205999132796	-2.41747055753301	-2.41747055753301	-2.81039774948466	-2.81039774948466	-4.42551174661362	0	2	-10	0.505350982822995	7.23002490701715
0	-4.42551174661362	1	0.5	-8	-2.81039774948466	-2.13830210102757	8.60205999132796	-2.13830210102757	-2.13830210102757	-2.81039774948466	-2.81039774948466	-14.7314138769715	0	2	-10	0.714111134314575	3.09717910684332
1	-11.0580650378426	0	0.666666666666667	-8	-2.81157312918395	-1.34374579225513	11.8744468817278	-2.56485126618934	-0.12264031832093	-3.04534049460098	-2.57780576376692	-15.0621883155173	0	2	-10	-10	0.942404061073355
1	-11.0580650378426	0	0.666666666666667	-8	-2.81157312918395	-1.34374579225513	11.8744468817278	-2.56485126618934	-0.12264031832093	-3.04534049460098	-2.57780576376692	-15.0621883155173	0	2	-10	-10	0.942404061073355
0	-15.0621883155173	0	0.666666666666667	-8	-2.81157312918395	-1.52098625394778	11.8744468817278	-2.56485126618934	-0.477121241706229	-3.04534049460098	-2.57780576376692	-22.5244537978423	0	2	-10	-10	-11.4693785841873
