Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12
1	-4.23043873217383	0	1.0	-8	-4.25647283861957	-4.07604962406241	4.58083715518475	-8.0	-1.77018206487686	-8.0	-1.90530480287787	-6.83128284503683	0
0	-6.83128284503683	0	1.0	-8	-4.25647283861957	-4.07604962406241	4.58083715518475	-8.0	-1.77018206487686	-8.0	-1.90530480287787	-7.33134143702289	0
1	-4.23043873217383	0	1.0	-8	-4.38896664352187	-4.40738013881965	4.65609683626634	-8.0	-2.45796680731035	-8.0	-2.30278621758477	-7.33134143702289	0
0	-7.33134143702289	0	1.0	-8	-4.38896664352187	-4.40738013881965	4.65609683626634	-8.0	-2.45796680731035	-8.0	-2.30278621758477	-8.29735813040544	0
1	-4.23043873217383	0	0.75	-8	-2.78706099348352	-2.6590659246518	11.3514243434044	-3.41479499233578	-2.10443597430928	-3.19331427160302	-2.30375499586671	-7.33134143702289	0
0	-7.33134143702289	0	0.75	-8	-2.78706099348352	-2.6590659246518	11.3514243434044	-3.41479499233578	-2.10443597430928	-3.19331427160302	-2.30375499586671	-8.03493211395193	0
1	-4.11677732770835	0	1.0	-8	-2.98161534491798	-2.1276002075177	12.1207400927107	-2.74026453651483	-0.926882028401483	-3.23532416077176	-2.67716644556203	-7.21768003255741	0
0	-7.21768003255741	0	1.0	-8	-2.98161534491798	-2.1276002075177	12.1207400927107	-2.74026453651483	-0.926882028401483	-3.23532416077176	-2.67716644556203	-8.04022793255121	0
1	-4.23043873217383	0	1.0	-8	-4.60150428472549	-3.8164416052387	4.20169648729386	-8.0	-0.926882028401483	-8.0	-2.65465579381917	-7.33134143702289	0
0	-7.33134143702289	0	1.0	-8	-4.60150428472549	-3.8164416052387	4.20169648729386	-8.0	-0.926882028401483	-8.0	-2.65465579381917	-18.9654126362613	0
1	-1.38038165665844	0	1.0	-8	-5.54271973824185	-5.37328868738989	1.90715710010373	-8.0	-2.74657737477977	-8.0	-3.0854394764837	-4.53274690099891	0
0	-4.53274690099891	0	1.0	-8	-5.54271973824185	-5.37328868738989	1.90715710010373	-8.0	-2.74657737477977	-8.0	-3.0854394764837	-11.1144728974167	0
1	-2.46928638534307	0	0.6	-8	-2.4895775318631	-2.27120070804333	9.94473651527157	-2.52113664184923	-1.97529880946631	-2.51116017966246	-2.46641224961664	-4.23792672515755	0
