Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12
0	-7.60238526234758	0	0.666666666666667	-8	-3.08570440507816	-2.11878776079019	11.6782089709074	-3.47750613506052	-0.760069386519866	-3.11993879828854	-3.05147001186778	-8.22416909068713	0
1	-0.761749403363062	0	1.0	-8	-2.57545470918566	-2.75093805244952	12.445750391469	-3.58629126696031	-1.89872046827438	-2.78201567430045	-2.41762494568341	-5.05095115378446	0
0	-5.05095115378446	0	1.0	-8	-2.57545470918566	-2.75093805244952	12.445750391469	-3.58629126696031	-1.89872046827438	-2.78201567430045	-2.41762494568341	-12.2154500585463	0
1	-4.3455039757763	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-230.262064858706	0
0	-230.262064858706	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-235.899529452324	0
1	-3.12046547451807	0	1.0	-8	-4.69836925714033	-4.28466841580249	4.67539991840759	-8.0	-2.21951620390343	-8.0	-2.81642289122763	-6.07172544137453	0
0	-6.07172544137453	0	1.0	-8	-4.69836925714033	-4.28466841580249	4.67539991840759	-8.0	-2.21951620390343	-8.0	-2.81642289122763	-13.4847613269709	0
1	-6.22950586343298	0	0.666666666666667	-8	-3.0727490344377	-1.96415019040779	12.0046788603571	-3.33538378589115	-0.592916594924427	-3.29918411855074	-2.84631395032466	-17.025465715272	0
0	-17.025465715272	0	0.666666666666667	-8	-3.0727490344377	-1.96415019040779	12.0046788603571	-3.33538378589115	-0.592916594924427	-3.29918411855074	-2.84631395032466	-19.2732186551385	0
1	-10.3778312817572	0	1.0	-8	-5.520754685298	-5.75072814607824	0.556971676153418	-8.0	-3.50145629215649	-8.0	-3.04150937059601	-10.407900954675	0
0	-10.407900954675	0	1.0	-8	-5.520754685298	-5.75072814607824	0.556971676153418	-8.0	-3.50145629215649	-8.0	-3.04150937059601	-11.0671353888725	0
0	-14.9663817782647	0	1.0	-8	-3.07164731954122	-2.52274062927815	12.459491597274	-3.46600648489412	-1.76097432992604	-3.46290171972176	-2.82013352671195	-15.354081854336	0
1	-15.354081854336	0	1.0	-8	-3.07164731954122	-2.52274062927815	12.459491597274	-3.46600648489412	-1.76097432992604	-3.46290171972176	-2.82013352671195	-18.3761396196699	0
1	-3.87497166268119	0	1.0	-8	-2.97772349301233	-3.63121556625652	12.8117989205915	-5.09710827742393	-2.48217447813314	-3.27387860742791	-2.52669949704465	-8.01847423815142	0
0	-8.01847423815142	0	1.0	-8	-2.97772349301233	-3.63121556625652	12.8117989205915	-5.09710827742393	-2.48217447813314	-3.27387860742791	-2.52669949704465	-11.0560099874576	0
0	-3.1477431324804	0	1.0	-8	-2.88165608790457	-2.13208455395687	12.5634918596782	-2.59119932277113	-1.57772236993979	-3.12392402652328	-2.28821847519317	-8.38675213833	0
1	-8.38675213833	0	1.0	-8	-2.88165608790457	-2.13208455395687	12.5634918596782	-2.59119932277113	-1.57772236993979	-3.12392402652328	-2.28821847519317	-8.62455775359438	0
0	-2.26697185401954	0	1.0	-8	-2.77431533228926	-2.16054767792832	12.4161529862221	-2.55464909527276	-1.40585729665036	-3.01379910070623	-2.40898225661857	-6.22916677706789	0
1	-6.22916677706789	0	1.0	-8	-2.77431533228926	-2.16054767792832	12.4161529862221	-2.55464909527276	-1.40585729665036	-3.01379910070623	-2.40898225661857	-12.9326027919484	0
1	-230.258509299405	0	1.0	-8	-1.94925536419452	-1.26655474487859	12.2323602260131	-2.41912816772873	0.602059990242226	-3.06851141744057	-0.176091252903176	-234.879017786047	0
0	-230.258509299405	0	1.0	-8	-1.94925536419452	-1.26655474487859	12.2323602260131	-2.41912816772873	0.602059990242226	-3.06851141744057	-0.176091252903176	-230.258509299405	0
0	-230.431494854835	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-231.5112722679	0
1	-231.5112722679	1	1.0	-8	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-8.0	-233.927719838213	0
0	-3.17160133728875	0	1.0	-8	-4.42551576262775	-4.5512226058712	5.98407585841278	-8.0	-2.70538419684992	-8.0	-2.37638264834027	-4.07713913860763	0
1	-4.07713913860763	0	1.0	-8	-4.42551576262775	-4.5512226058712	5.98407585841278	-8.0	-2.70538419684992	-8.0	-2.37638264834027	-13.358052147343	0
0	-7.63641258535707	0	0.75	-8	-2.20280336665581	-2.45859835919638	11.7971158667404	-3.3140782025278	-1.91272171659627	-2.67026884736933	-1.58596327027888	-9.56563964408478	0
1	-9.56563964408478	0	0.75	-8	-2.20280336665581	-2.45859835919638	11.7971158667404	-3.3140782025278	-1.91272171659627	-2.67026884736933	-1.58596327027888	-10.0013018384178	0
0	-6.82281022086882	0	0.666666666666667	-8	-5.15548381475207	-4.42101167289713	0.954242509439324	-8.0	-0.842023345794264	-8.0	-2.31096762950414	-7.84516010986729	0
