Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13
1	-17.5410601534038	0	1.0	-8	-3.30779876053786	-1.59716657919668	12.0463461281275	-2.01685437566699	-1.10748832852378	-3.9658820507103	-2.46395125607289	-17.9347244697167	0	2
0	-17.9347244697167	0	1.0	-8	-3.35788795926455	-1.43210055695154	11.992308825702	-2.01685437566699	-0.612290261788379	-4.11614964689037	-2.46395125607289	-24.5274623951741	0	2
0	-24.5274623951741	0	1.0	-8	-3.30779876053786	-3.30405783886464	12.0463461281275	-6.78783081240315	-1.10748832852378	-3.9658820507103	-2.46395125607289	-24.921126711487	0	2
0	-24.921126711487	0	1.0	-8	-3.35788795926455	-3.13899181661951	11.992308825702	-6.78783081240315	-0.612290261788379	-4.11614964689037	-2.46395125607289	-31.4858305408599	0	2
0	-31.4858305408599	0	1.0	-8	-3.30779876053786	-1.57532749748689	12.0463461281275	-1.95133713053763	-1.10748832852378	-3.9658820507103	-2.46395125607289	-31.8794948571728	0	2
1	-16.0435342499849	0	1.0	-8	-3.49667873857985	-1.63707374306338	12.6044327774384	-2.10202896682479	-1.10748832852378	-3.9658820507103	-3.17229515680207	-16.4371985662978	0	2
0	-16.4371985662978	0	1.0	-8	-3.54676793730654	-1.47200772081825	12.550395475013	-2.10202896682479	-0.612290261788379	-4.11614964689037	-3.17229515680207	-21.0807913643261	0	2
0	-21.0807913643261	0	1.0	-8	-3.49667873857985	-2.86413307971248	12.6044327774384	-5.38288194378888	-1.10748832852378	-3.9658820507103	-3.17229515680207	-21.474455680639	0	2
0	-21.474455680639	0	1.0	-8	-3.54676793730654	-2.69906705746735	12.550395475013	-5.38288194378888	-0.612290261788379	-4.11614964689037	-3.17229515680207	-34.5785478738913	0	2
0	-34.5785478738913	0	1.0	-8	-3.49667873857985	-1.05917974290624	12.6044327774384	-2.10202896682479	0.626193671947645	-3.9658820507103	-3.17229515680207	-39.6158049882325	0	1
1	-13.3627275946724	0	1.0	-8	-3.06949509674238	-1.81263573371794	12.7753246184736	-2.24100593749228	-1.10748832852378	-3.9658820507103	-2.58540206549216	-13.7563919109853	0	2
0	-13.7563919109853	0	1.0	-8	-3.11958429546907	-1.6475697114728	12.7212873160482	-2.24100593749228	-0.612290261788379	-4.11614964689037	-2.58540206549216	-29.7205159293026	0	2
0	-29.7205159293026	0	1.0	-8	-3.07525218258763	-2.63019048126748	12.7753449864951	-4.6936701801409	-1.10748832852378	-3.9658820507103	-2.60267332302793	-30.1141802456156	0	2
0	-30.1141802456156	0	1.0	-8	-3.12534138131432	-2.46512445902234	12.7213076840697	-4.6936701801409	-0.612290261788379	-4.11614964689037	-2.60267332302793	-31.8977412185789	0	2
0	-31.8977412185789	0	1.0	-8	-3.06949509674238	-1.2347417335608	12.7753246184736	-2.24100593749228	0.626193671947645	-3.9658820507103	-2.58540206549216	-34.0732823406328	0	1
1	-3.29548432445647	0	0.666666666666667	-8	-1.82999685161247	-1.5966830268541	10.802104383694	-2.45796680731035	-0.735399246397851	-2.86411371298084	-0.7958799902441	-6.39638702930554	0	2
0	-6.39638702930554	0	0.666666666666667	-8	-1.82999685161247	-1.13720476601273	10.802104383694	-1.53901028562761	-0.735399246397851	-2.86411371298084	-0.7958799902441	-13.0993758968099	0	2
0	-13.0993758968099	0	1.0	-8	-3.05041918122475	-2.65330933021063	12.2089965297085	-2.79850927896295	-2.45796680731035	-3.1927352797645	-2.86411371298084	-16.200278601659	0	1
0	-16.200278601659	0	1.0	-8	-3.05041918122475	-2.34699048964972	12.2089965297085	-2.79850927896295	-1.53901028562761	-3.1927352797645	-2.86411371298084	-18.9654126362613	0	1
0	-18.9654126362613	0	1.0	-8	-3.01341156756828	-2.05683794025145	12.2283080083041	-2.78566498504251	-0.926882028401483	-3.14985706035729	-2.86411371298084	-21.8025232386124	0	2
