Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
0	-16.4371985662978	0	1.0	-8	-3.54676793730654	-1.47200772081825	12.550395475013	-2.10202896682479	-0.612290261788379	-4.11614964689037	-3.17229515680207	-21.0807913643261	0	2	-10	-10	-7.98311934395666
0	-21.0807913643261	0	1.0	-8	-3.49667873857985	-2.86413307971248	12.6044327774384	-5.38288194378888	-1.10748832852378	-3.9658820507103	-3.17229515680207	-21.474455680639	0	2	0.647355159680575	-10	-13.8069795880291
0	-13.3627275946724	0	1.0	-8	-3.06949509674238	-1.81263573371794	12.7753246184736	-2.24100593749228	-1.10748832852378	-3.9658820507103	-2.58540206549216	-13.7563919109853	0	2	-10	0.0276756115203006	5.02122961591815
0	-13.7563919109853	0	1.0	-8	-3.11958429546907	-1.6475697114728	12.7212873160482	-2.24100593749228	-0.612290261788379	-4.11614964689037	-2.58540206549216	-29.7205159293026	0	2	-10	-10	-9.02285479141525
0	-29.7205159293026	0	1.0	-8	-3.07525218258763	-2.63019048126748	12.7753449864951	-4.6936701801409	-1.10748832852378	-3.9658820507103	-2.60267332302793	-30.1141802456156	0	2	-10	-10	-14.0597717671094
1	-3.29548432445647	0	0.666666666666667	-8	-1.82999685161247	-1.5966830268541	10.802104383694	-2.45796680731035	-0.735399246397851	-2.86411371298084	-0.7958799902441	-6.39638702930554	0	2	-10	-0.000557044808593046	8.29570980331208
1	-3.29548432445647	0	0.666666666666667	-8	-1.82999685161247	-1.5966830268541	10.802104383694	-2.45796680731035	-0.735399246397851	-2.86411371298084	-0.7958799902441	-6.39638702930554	0	2	-10	-0.000557044808593046	8.29570980331208
1	-3.29548432445647	0	0.666666666666667	-8	-1.82999685161247	-1.5966830268541	10.802104383694	-2.45796680731035	-0.735399246397851	-2.86411371298084	-0.7958799902441	-6.39638702930554	0	2	-10	-0.000557044808593046	8.29570980331208
0	-10.7034937965484	0	0.8	-8	-2.80403647402504	-2.09567296309679	12.5632678312923	-2.70459665208611	-1.39354216106557	-3.13780185082113	-2.44854518793505	-10.8311086443672	0	2	-10	-10	-4.89159576582623
0	-10.8311086443672	0	0.8	-8	-2.80403647402504	-2.75911879481631	12.5632678312923	-4.04732548794366	-2.07411528801617	-3.13780185082113	-2.44854518793505	-12.1659496828258	0	2	-10	-10	-10.8446794110374
