index	nb_urls	delimit_hash	geo	text	nb_symbols	annee	delimit_mention	nb_extended_entities	text_mention	id_str	nb_user_photos	nb_user_mentions	type_extended_entities	created_at	lang	retweet_count	nb_hashtags	favorite_count	text_hashtags
778265267184996352	0	, 84, 95		"Je ne sais pas si on va la faire : Quand Angelina brade Pitt, c'est pas Jolie Jolie
#Brangelina"	0	2016		0		778265267184996352	0	0	[]	Tue Sep 20 16:11:13 +0000 2016	fr	2	1	9	, Brangelina
778265283052068865	1	, 34, 45, 46, 56		"Vas-y paye ta garde alternée ... 
#brangelina #brangexit  https://t.co/SnfR8TIXGN"	0	2016		0		778265283052068865	0	0	[]	Tue Sep 20 16:11:17 +0000 2016	fr	0	2	0	, brangelina, brangexit
778265299724410881	0	, 104, 115		... en pendant ce temps là, il y a des milliers d'imbéciles qui pleurent un certain divorce (indécence) #Brangelina	0	2016		0		778265299724410881	0	0	[]	Tue Sep 20 16:11:21 +0000 2016	fr	0	1	1	, Brangelina
778265301867696130	0	, 55, 66		@lalibrebe Jvoudrais bien savoir ce qu'il lui a fait!😄 #Brangelina	0	2016	, 0, 10	0	, lalibrebe	778265301867696130	0	1	[]	Tue Sep 20 16:11:22 +0000 2016	fr	0	1	0	, Brangelina
778265334763626496	0	, 76, 81, 82, 93		Les filles qui mettent leur num partout sur Facebook et Twitter. Seriously? #Pitt #Brangelina	0	2016		0		778265334763626496	0	0	[]	Tue Sep 20 16:11:29 +0000 2016	fr	0	2	0	, Pitt, Brangelina
778265414828691456	0	, 0, 10, 12, 19, 32, 43		#attentats, #climat, divorce de #Brangelina.. je crois qu'on s'était planté de 4 ans pour la fin du monde ! 😭	0	2016		0		778265414828691456	0	0	[]	Tue Sep 20 16:11:49 +0000 2016	fr	0	3	1	, attentats, climat, Brangelina
778265426312695808	0	, 39, 50		Manque plus que les Beckham et adieu 💥 #Brangelina	0	2016		0		778265426312695808	0	0	[]	Tue Sep 20 16:11:51 +0000 2016	fr	4	1	6	, Brangelina
778265440959234048	0	, 18, 29		En apprenant pour #Brangelina je me suis dit qu’au moins il nous restait Marion Cotillard et Guillaume Canet 🙄😣	0	2016		0		778265440959234048	0	0	[]	Tue Sep 20 16:11:55 +0000 2016	fr	0	1	2	, Brangelina
778265487381790724	0	, 129, 140		J'suis partagée entre le fait d'être deg pour eux, ce qu'ils "représentaient" et blasée des réactions genre alerte dans les News #Brangelina	0	2016		0		778265487381790724	0	0	[]	Tue Sep 20 16:12:06 +0000 2016	fr	0	1	0	, Brangelina
778265669397643264	0	, 81, 92		Divorce de Brangelina? Wow! Ça me frappe comme si j’étais un convoi humanitaire. #Brangelina	0	2016		0		778265669397643264	0	0	[]	Tue Sep 20 16:12:49 +0000 2016	fr	0	1	0	, Brangelina
778265693913505792	0	, 23, 34		Leurs pauvre 36 gamins #Brangelina	0	2016		0		778265693913505792	0	0	[]	Tue Sep 20 16:12:55 +0000 2016	fr	0	1	0	, Brangelina
778265727748956160	1	, 46, 57		Perez Hilton et sa vidéo en larmes à cause du #Brangelina split https://t.co/Y2vNHJa1Ji	0	2016		0		778265727748956160	0	0	[]	Tue Sep 20 16:13:03 +0000 2016	fr	0	1	2	, Brangelina
778265731968471041	0	, 10, 21		Donc fini #Brangelina ? ça va être quoi maintenant ? Pitt + Cotillard = Pittard ?	0	2016		0		778265731968471041	0	0	[]	Tue Sep 20 16:13:04 +0000 2016	fr	3	1	1	, Brangelina
778265802353115137	0	, 14, 25		Non le couple #Brangelina ne va pas divorcer, ce n'est pas réel	0	2016		0		778265802353115137	0	0	[]	Tue Sep 20 16:13:21 +0000 2016	fr	0	1	2	, Brangelina
778265853053767680	0	, 67, 78		Franchement je m'y attendais pas je pensai que c'était l'amour fou #brangelina	0	2016		0		778265853053767680	0	0	[]	Tue Sep 20 16:13:33 +0000 2016	fr	1	1	3	, brangelina
778265922528284676	0	, 69, 80		"Tout l'monde avait oublié que Brad Pitt c'est un Trompeur, juste Pck #Brangelina été glamour ! 
Moi j'ai pas oublié ma pote Jen Aniston !"	0	2016		0		778265922528284676	0	0	[]	Tue Sep 20 16:13:50 +0000 2016	fr	0	1	1	, Brangelina
778265940718940161	0	, 125, 136		Ct un de vos "couples modèles" mais faut pas oublier que qd ils ont commencé à sortir ensemble Brad Pitt était pas libre mdr #Brangelina	0	2016		0		778265940718940161	0	0	[]	Tue Sep 20 16:13:54 +0000 2016	fr	0	1	3	, Brangelina
778266019383083008	0	, 93, 104		On dit tous ça mais c'est vrai si même eux divorcent c'est bon je crois plus en l'amour là 😭 #Brangelina	0	2016		0		778266019383083008	0	0	[]	Tue Sep 20 16:14:13 +0000 2016	fr	6	1	10	, Brangelina
778266100702257153	0	, 52, 63		Brad viens par ici bb on est fait l'un pour l'autre #Brangelina	0	2016		0		778266100702257153	0	0	[]	Tue Sep 20 16:14:32 +0000 2016	fr	0	1	3	, Brangelina
778266134726541312	1	, 30, 41		Quand j'ai dit à ma mère pour #Brangelina. https://t.co/y40xQn3QQJ	0	2016		0		778266134726541312	0	0	[]	Tue Sep 20 16:14:40 +0000 2016	fr	0	1	2	, Brangelina
778266169602088960	0	, 25, 36		Qui va garder le break ? #Brangelina	0	2016		0		778266169602088960	0	0	[]	Tue Sep 20 16:14:48 +0000 2016	fr	0	1	2	, Brangelina
778266186685513728	0	, 36, 47		Apparemment c'est la fin du monde 😒 #Brangelina	0	2016		0		778266186685513728	0	0	[]	Tue Sep 20 16:14:53 +0000 2016	fr	0	1	2	, Brangelina
