index	nb_user_mentions	nb_extended_entities	nb_hashtags	geo	text_hashtags	annee	delimit_mention	lang	id_str	text_mention	retweet_count	favorite_count	type_extended_entities	text	nb_user_photos	nb_urls	nb_symbols	created_at	delimit_hash
777769979450130432	0	0	9		, LePen, Macron, Sarkozy, Valls, Juppé, Hollande, Bush, Trump, terrorisme	2016		fr	777769979450130432		0	0	[]	Si les terrorisateurs sont terroristes alors #LePen #Macron #Sarkozy #Valls #Juppé #Hollande #Bush #Trump sont des terroristes. #terrorisme!	0	0	0	Mon Sep 19 07:23:08 +0000 2016	, 45, 51, 52, 59, 60, 68, 69, 75, 76, 82, 83, 92, 93, 98, 99, 105, 128, 139
777771165125373952	0	0	8		, Sarko, Hollande, Macron, LR, PS, FN, France, Démocratie	2016		fr	777771165125373952		0	0	[]	Donc avec #Sarko #Hollande #Macron #LR #PS #FN visiblement et objectivemetn la #France n'estt pas une #Démocratie: https://t.co/UsDfXM5NlO	0	1	0	Mon Sep 19 07:27:50 +0000 2016	, 10, 16, 17, 26, 27, 34, 35, 38, 39, 42, 43, 46, 79, 86, 102, 113
777772435345203200	1	0	3		, Macron, Ecopla, destructioncréatrice	2016	, 58, 65	fr	777772435345203200	, Fakir_	0	0	[]	Magnifique dossier sur #Macron et #Ecopla dans le dernier @Fakir_. Macron n'est qu'un idéologue schumpeterien de plus. #destructioncréatrice	0	0	0	Mon Sep 19 07:32:53 +0000 2016	, 23, 30, 34, 41, 119, 140
777772565192466432	0	0	1		, Macron	2016		fr	777772565192466432		0	0	[]	Loi #Macron Désormais la résidence principale d’un entrepreneur individuel est insaisissable par ses créanciers https://t.co/6zzBkhxHan	0	1	0	Mon Sep 19 07:33:24 +0000 2016	, 4, 11
777777366844211200	0	0	1		, Macron	2016		fr	777777366844211200		3	1	[]	"Il est paradoxal d’entendre parlementaires de droite qui étaient prêts à voter les lois #Macron sous Hollande lui taper dessus aujourd’hui"	0	0	0	Mon Sep 19 07:52:29 +0000 2016	, 89, 96
777777501040812032	1	0	2		, RSI, MacronPipo	2016	, 69, 82	fr	777777501040812032	, Contrepoints	1	2	[]	Le créateur du #RSI soutient #MacronPipo https://t.co/x8pXhfrSnS via @Contrepoints	0	1	0	Mon Sep 19 07:53:01 +0000 2016	, 15, 19, 29, 40
777780838977171456	0	1	3		, Presidentielle2017, Macron, EnMarche	2016		fr	777780838977171456		2	1	['photo']	#Presidentielle2017 #Macron #EnMarche à gauche, à droite, seul le sens des mots compte… https://t.co/St7q7y69Sb	1	0	0	Mon Sep 19 08:06:17 +0000 2016	, 0, 19, 20, 27, 28, 37
777785350794186752	1	0	2		, SUP, Macron	2016	, 36, 47	fr	777785350794186752	, alainjuppe	6	1	[]	Commencé la lecture du programme de @alainjuppe sur le #SUP: tout le groupe Marc Bloch ne soutient pas #Macron manifestement...	0	0	0	Mon Sep 19 08:24:12 +0000 2016	, 55, 59, 103, 110
777791049888591872	0	0	2		, Entreprendre, loiMacron	2016		fr	777791049888591872		0	0	[]	#Entreprendre en limitant risques personnels avec #loiMacron https://t.co/tba7pFVu7O	0	1	0	Mon Sep 19 08:46:51 +0000 2016	, 0, 13, 50, 60
777798218797162496	2	0	1		, Macron	2016	, 0, 12, 13, 18	fr	777798218797162496	, Mathieu_Gbt, SNCF	0	0	[]	@Mathieu_Gbt @SNCF à eux de ns faire aimer les cars #Macron 😯	0	0	0	Mon Sep 19 09:15:20 +0000 2016	, 52, 59
