POIDLOG	POIDSF	cLT1FREQ	cLT2FREQ																												
1.4675003495	7865.0827984	5	2																												
4.1561619121	22274.99133	2	1																												
0.7484196504	4011.1626003	3	2																												
2.1882703603	11728.056879	4	2																												
1.1354613	6085.5161919	2	1																												
1.0091693495	5408.6532203	0																													
1.0929895787	5857.888577	2	1																												
2.6435333884	14168.043631	4	1																												
2.7887467977	14946.31635	3	1																												
1.0892047019	5837.6034919	2	1																												
0.5129745459	2749.2922085	2	1																												
2.0219668949	10836.751793	0																													
1.2870531881	6897.974432	3	1																												
0.4851634692	2600.238465	12	2																												
0.5518056333	2957.4078096	2	1																												
2.1011393591	11261.077406	0																													
2.2563994206	12093.195259	2	1																												
0.9245693989	4955.2389392	10	2																												
0.8401295143	4502.6825334	3	1																												
4.2865486651	22973.800436	1	1																												
1.4142988447	7579.948801	3	1																												
1.1883505961	6368.9769032	2	1																												
1.1694123273	6267.4770623	0																													
2.4862501035	13325.082292	2	1																												
0.2463418112	1320.2714006	5	2																												
0.9115219916	4885.3112293	0																													
1.9179773747	10279.41892	1	1																												
0.6454894787	3459.5073162	1	1																												
0.8562205681	4588.922697	1	1																												
0.872602601	4676.7223659	0																													
1.0694186724	5731.5600689	1	1																												
2.7978019183	14994.847359	1	1																												
1.0899617792	5841.6610552	4	1																												
0.60059373	3218.888102	1	1																												
0.4400287952	2358.338728	2	1																												
0.7803252235	4182.1608385	1	1																												
3.7261323186	19970.243423	0																													
1.1828869782	6339.6945884	1	1																												
0.8544299766	4579.3260037	6	2																												
2.3112649199	12387.247451	3	1																												
2.7408560747	14689.645541	3	1																												
2.8889271416	15483.233905	5	1																												
0.4853521668	2601.2497917	1	1																												
1.2309044301	6597.0446021	0																													
1.9742364538	10580.940016	5	2																												
0.6672750588	3576.2673506	7	2																												
4.2672597892	22870.421513	1	1																												
5.6253813967	30149.287849	4	1																												
0.6664547571	3571.8709351	2	1																												
1.1196840962	6000.9581106	1	2																												
0.715873356	3836.7304102	3	1																												
3.4736363133	18616.988558	10	2																												
2.7104860789	14526.877245	1	1																												
1.3691065604	7337.7403014	2	1																												
0.9853154928	5280.8082369	0																													
0.6635322753	3556.2078647	0																													
0.4978493821	2668.2287419	3	1																												
1.7179762605	9207.510948	0																													
0.7580593609	4062.8267253	5	1																												
1.7140127218	9186.2683224	2	1																												
1.8997412354	10181.682148	0																													
1.3790330065	7390.9411886	0																													
2.7401293959	14685.750898	0																													
0.8257079265	4425.3898893	5	1																												
1.9624047145	10517.527691	0																													
3.5519600561	19036.76544	0																													
0.5559956353	2979.8641675	4	1																												
0.7610524616	4078.8682782	0																													
1.5750514951	8441.5042387	3	1																												
2.9173525905	15635.580382	3	1																												
1.7269976453	9255.8611502	2	1																												
2.7672041487	14830.858307	2	1																												
1.2063774615	6465.5920689	1	1																												
2.7562123141	14771.947459	4	1																												
4.6523927056	24934.54523	2	2																												
0.7057710368	3782.5869294	1	1																												
4.6003125967	24655.421365	5	1																												
1.8876461996	10116.858683	3	1																												
2.5576817684	13707.921014	2	2																												
2.8204350065	15116.149621	3	2																												
0.9689887097	5193.3046794	1	1																												
1.6944302525	9081.3158825	3	2																												
0.3715007761	1991.0621245	1	2																												
0.4424686779	2371.4153037	1	1																												
1.8424896463	9874.841684	3	1																												
2.8084084239	15051.693032	4	1																												
1.8407912922	9865.7393385	1	1																												
0.9854778747	5281.6785243	15	2																												
0.5472197386	2932.8296612	3	1																												
2.7612289069	14798.833939	6	3																												
0.5509926419	2953.050574	2	1																												
1.5747353334	8439.8097668	1	1																												
0.7374395191	3952.3144769	2	1																												
0.6654780182	3566.6360932	3	1																												
1.9475320954	10437.81774	0																													
0.5802112675	3109.6480904	3	1																												
0.1648190625	883.34941368	8	2																												
1.3489594074	7229.7614338	2	1																												
2.760031352	14792.415632	2	1																												
2.8043375319	15029.875046	4	1																												
1.0743978517	5758.2460303	0																													
1.4440726354	7739.5217299	4	1																												
2.8530558329	15290.981267	2	1																												
0.6053639057	3244.4539062	5	1																												
1.4095530445	7554.5136377	5	1																												
3.4495872427	18488.097323	2	1																												
5.0437494998	27032.025882	3	1																												
0.8947422952	4795.3802788	2	1																												
2.4541020043	13152.784233	1	1																												
5.0743142234	27195.837824	19	2																												
2.0969405559	11238.573879	2	1																												
1.452569443	7785.0604553	36	2																												
0.8665012598	4644.0221672	1	1																												
4.3415060036	23268.344842	3	1																												
1.3777821129	7384.2370118	2	1																												
0.8676780024	4650.3289308	2	1																												
4.341124575	23266.300571	1	1																												
0.6634347791	3555.6853331	1	1																												
1.1337888905	6076.5528968	1	1																												
