annee	mois	jour	charleville_max	cannes_max
2010	10	21	9,5	19,7
2010	10	22	9,4	19,5
2010	10	23	8,7	18,8
2010	10	24	12,4	20,3
2010	10	25	10,9	14,7
2010	10	26	10,5	18,9
2010	10	27	12	17,9
2010	10	28	11	18,1
2010	10	29	14,4	18,6
2010	10	30	10,4	16,9
2010	10	31	16,1	16,8
2010	11	1	13,8	16,3
2010	11	2	12,8	18
2010	11	3	15	21,3
2010	11	4	17,1	19,7
2010	11	5	16	19,9
2010	11	6	12,3	22,5
2010	11	7	8,7	17,6
2010	11	8	7	13,5
2010	11	9	8,8	16,4
2010	11	10	7,8	16
2010	11	11	13,4	17,8
2010	11	12	14,1	21,7
2010	11	13	14,3	18,9
2010	11	14	13,7	16,8
2010	11	15	10,7	16,8
2010	11	16	10,7	12,7
2010	11	17	4,9	17,2
2010	11	18	6,5	15,1
2010	11	19	7,9	15,6
2010	11	20	9,6	11,7
2010	11	21	5,5	14,4
2010	11	22	4,1	15,4
2010	11	23	5,8	16,3
2010	11	24	5,8	11,9
2010	11	25	2,3	11,5
2010	11	26	2,2	10,4
2010	11	27	2,3	8,1
2010	11	28	0,8	11,4
2010	11	29	-0,5	11,8
2010	11	30	0,2	12,1
2010	12	1	-2,4	12,2
2010	12	2	-2,1	11,8
2010	12	3	3	9,2
2010	12	4	1,4	10,7
2010	12	5	0,6	8,5
2010	12	6	1,8	10,8
2010	12	7	1,4	15,3
2010	12	8	1,2	15,5
2010	12	9	1,5	19,1
2010	12	10	2,6	13,7
2010	12	11	3,1	13,7
2010	12	12	5	13,7
2010	12	13	1,7	13,2
2010	12	14	-1,1	10,7
2010	12	15	1,8	6,5
2010	12	16	2,1	6,4
2010	12	17	-0,3	9,3
2010	12	18	-0,7	10,5
2010	12	19	4,1	10,6
2010	12	20	0,9	13,6
2010	12	21	2,7	10,9
2010	12	22	2,4	13,7
2010	12	23	-0,2	13,1
2010	12	24	-1,1	11,6
2010	12	25	-2,6	6,1
2010	12	26	-1	5,7
2010	12	27	-1,8	9,8
2010	12	28	0,8	10,1
2010	12	29	2,1	9,1
2010	12	30	2,9	10,7
2010	12	31	4,1	12,8
