,fpr,tpr,th
116,0.0,0.09187547456340167,0.9892812335998614
117,0.0,0.0926347760060744,0.9892756614442181
118,0.0,0.09339407744874716,0.9891121545419468
119,0.0,0.09415337889141989,0.9891062972413803
120,0.0,0.09491268033409264,0.9891023012457753
121,0.0,0.09567198177676538,0.9890828265942504
122,0.0,0.09643128321943811,0.9890778907927191
123,0.0,0.09719058466211086,0.9890031297559214
124,0.0,0.0979498861047836,0.9889841660542837
125,0.0,0.09870918754745633,0.9889708883507148
126,0.0,0.09946848899012908,0.9889692359745177
127,0.0,0.10022779043280182,0.9889523328177675
128,0.0,0.10098709187547457,0.9889313803062472
129,0.0,0.1017463933181473,0.9887889049531158
130,0.0,0.10250569476082004,0.9887738644002617
131,0.0,0.10326499620349279,0.9887666030265544
132,0.0,0.10402429764616553,0.9886890823960478
