Project,Version,num_downloads,month
pyquickhelper,10.13.1,3,201710
csharpyml,,102,201811
pyquickhelper,18.08.30,1,201905
onnxruntime,6.9,1,201812
tkinterquickhelper,,336,201710
skl2onnx,rolling,5,201905
jyquickhelper,10.12.6,2,201803
jyquickhelper,12.04,26,201704
scikit-onnxruntime,19.04,1,201905
pyquickhelper,7,18,201708
jyquickhelper,18.3,2,201810
pyquickhelper,6,15,201702
pymmails,12.04,15,201707
pyensae,6.9,3,201710
pyquickhelper,18.08.31.1,1,201906
jyquickhelper,7.6,1,201902
tkinterquickhelper,10.12.6,2,201710
pyquickhelper,14.04,166,201803
jyquickhelper,9,269,201810
jyquickhelper,14.04,49,201902
onnxruntime,10.13.6,1669,201903
pymmails,wheezy/sid,83,201607
pyensae,18.3,4,201902
pymyinstall,,3533,201708
pyquickhelper,10.13.4,1,201807
pyenbc,8,1,201711
pyquickhelper,10.10.5,1,201702
pymyinstall,14.04,66,201804
pyquickhelper,18.10,4,201901
nimbusml,14.04,1,201811
pyquickhelper,7.5,4,201810
tkinterquickhelper,10.14.2,1,201906
jyquickhelper,18.1,1,201706
tkinterquickhelper,14.04,51,201711
pymmails,16.04,55,201902
pyquickhelper,14.04,167,201705
mlprodict,,29,201806
pymmails,wheezy/sid,93,201606
pymmails,16.04,4,201609
jyquickhelper,7,1,201801
skl2onnx,10.14.3,9,201906
onnxruntime,19.1,1,201901
pymmails,10.13.6,1,201808
teachpyx,16.04,5,201809
jyquickhelper,26,1,201801
jupytalk,,461,201710
onnxruntime,7.5,3,201811
onnxruntime,18.0.2,2,201902
mlinsights,10.12.6,1,201810
teachpyx,7.4.1708,1,201812
onnxruntime,10.12.6,43,201906
pyensae,17.10,1,201802
pyquickhelper,17.04,1,201805
pyrsslocal,16.04,25,201810
manydataapi,10.13.3,2,201809
jyquickhelper,14.04,3,201611
onnxruntime,10.14,8,201902
pymyinstall,8,1,201804
pyquickhelper,10.12.6,1,201801
pyrsslocal,16.04,2,201801
pyrsslocal,10.12.5,1,201706
manydataapi,,42,201906
jyquickhelper,10.11.4,1,201707
jyquickhelper,16.04,1,201610
tkinterquickhelper,16.04,40,201809
pyquickhelper,10.12.1,3,201702
pyquickhelper,5.3,1,201901
pymyinstall,16.04,4,201611
pyquickhelper,16.10,2,201706
pyensae,16.10,1,201612
pyensae,jessie/sid,1,201611
pymyinstall,8,3,201711
pyquickhelper,10.13.2,2,201811
manydataapi,10.13.4,2,201810
lightmlrestapi,9,16,201811
pymyinstall,10.11.6,1,201704
nimbusml,5.0,1,201904
jyquickhelper,28,1,201808
pyquickhelper,10.10.4,3,201704
pyquickhelper,20160505,2,201611
pysqllike,7.2.1511,1,201602
csharpyml,10.12.6,1,201905
jyquickhelper,16.04,9,201802
jyquickhelper,0.4.1,1,201903
jyquickhelper,7.4,1,201812
mlinsights,10.12.6,1,201711
pyensae,10.9.5,1,201611
pyquickhelper,26,1,201708
jyquickhelper,rolling,2,201705
pyensae,10.14.3,7,201905
tkinterquickhelper,rolling,2,201709
pyquickhelper,10.12.6,1,201812
nimbusml,7,33,201905
jyquickhelper,wheezy/sid,112,201612
jyquickhelper,8,20,201709
mlinsights,10.13.1,1,201902
pyensae,wheezy/sid,155,201608
nimbusml,10.14,2,201811
pymmails,14.04,2,201806
cpyquickhelper,9,10,201904
csharpyml,,94,201904
pyrsslocal,9,44,201811
pyquickhelper,10.12.3,1,201705
pyensae,8,6,201711
mlprodict,18.04,2,201901
tkinterquickhelper,,236,201805
pysqllike,14.04,1,201706
pyquickhelper,10.11.6,3,201705
pyquickhelper,7,2,201802
mlinsights,16.04,129,201901
pymmails,16.04,3,201706
jyquickhelper,18.4,1,201804
tkinterquickhelper,18.08.30,1,201905
skl2onnx,buster/sid,1,201903
pyensae,8,4,201804
pymmails,8,3,201811
pysqllike,9,1,201802
jupytalk,,327,201802
pymyinstall,18.04,10,201905
pyquickhelper,14.04,142,201707
manydataapi,,164,201808
pyquickhelper,10.12.1,1,201610
tkinterquickhelper,29,1,201904
pyensae,stretch/sid,1,201611
mlstatpy,,1129,201708
jyquickhelper,10.14.1,1,201903
pyquickhelper,17.10,2,201901
pymyinstall,14.04,17,201810
pyquickhelper,10.12,1,201812
pyensae,8.1,1,201608
jyquickhelper,14.04,249,201707
pyenbc,8,1,201902
pysqllike,12.04,1,201804
pyquickhelper,10.13.1,4,201712
teachpyx,,455,201711
pyquickhelper,16.10,5,201702
skl2onnx,6.9,1,201906
teachpyx,,81,201803
pyquickhelper,18.2,1,201801
pyquickhelper,18.04,52,201903
pyensae,10.14,7,201810
pyquickhelper,17.04,4,201712
pymmails,14.04,1,201602
jyquickhelper,14.1,1,201811
onnxruntime,14.04,1,201809
pyquickhelper,10.12,1,201905
pyquickhelper,17.04,2,201706
csharpy,9,3,201811
pyquickhelper,10.10.1,2,201607
pymmails,7.2,1,201802
jyquickhelper,18.04,63,201903
pyquickhelper,2017.3,1,201712
mlinsights,10.13.6,4,201903
pyquickhelper,10.10.5,2,201608
pyrsslocal,9,20,201808
pyrsslocal,16.04,3,201703
pymyinstall,14.04,60,201706
tkinterquickhelper,10.10.5,1,201904
jyquickhelper,17.10,3,201804
mlstatpy,12.04,14,201707
pymyinstall,14.04,89,201705
pyensae,10.14,4,201902
