Date	Sessions
21/02/2012	9
22/02/2012	15
23/02/2012	11
24/02/2012	15
25/02/2012	14
26/02/2012	15
27/02/2012	14
28/02/2012	15
29/02/2012	7
01/03/2012	15
02/03/2012	6
03/03/2012	2
04/03/2012	8
05/03/2012	3
06/03/2012	8
07/03/2012	9
08/03/2012	10
09/03/2012	6
10/03/2012	4
11/03/2012	4
12/03/2012	3
13/03/2012	8
14/03/2012	5
15/03/2012	10
16/03/2012	3
17/03/2012	5
18/03/2012	5
19/03/2012	5
20/03/2012	8
21/03/2012	8
22/03/2012	17
23/03/2012	8
24/03/2012	4
25/03/2012	9
26/03/2012	6
27/03/2012	8
28/03/2012	5
29/03/2012	8
30/03/2012	10
31/03/2012	6
01/04/2012	5
02/04/2012	14
03/04/2012	6
04/04/2012	7
05/04/2012	5
06/04/2012	7
07/04/2012	3
08/04/2012	8
09/04/2012	11
10/04/2012	4
11/04/2012	3
12/04/2012	12
13/04/2012	5
14/04/2012	2
15/04/2012	7
16/04/2012	3
17/04/2012	4
18/04/2012	6
19/04/2012	7
20/04/2012	9
21/04/2012	5
22/04/2012	7
23/04/2012	4
24/04/2012	10
25/04/2012	14
26/04/2012	6
27/04/2012	6
28/04/2012	4
29/04/2012	5
30/04/2012	8
01/05/2012	4
02/05/2012	6
03/05/2012	6
04/05/2012	7
05/05/2012	2
06/05/2012	6
07/05/2012	4
08/05/2012	9
09/05/2012	12
10/05/2012	3
11/05/2012	4
12/05/2012	8
13/05/2012	5
14/05/2012	15
15/05/2012	13
16/05/2012	11
17/05/2012	5
18/05/2012	2
19/05/2012	3
20/05/2012	5
21/05/2012	5
22/05/2012	11
23/05/2012	17
24/05/2012	7
25/05/2012	7
26/05/2012	4
27/05/2012	3
28/05/2012	7
29/05/2012	9
30/05/2012	10
31/05/2012	8
01/06/2012	4
02/06/2012	9
03/06/2012	9
04/06/2012	7
05/06/2012	6
06/06/2012	5
07/06/2012	6
08/06/2012	5
09/06/2012	3
10/06/2012	4
11/06/2012	5
12/06/2012	5
13/06/2012	10
14/06/2012	11
15/06/2012	2
16/06/2012	3
17/06/2012	4
18/06/2012	2
19/06/2012	4
20/06/2012	9
21/06/2012	4
22/06/2012	3
23/06/2012	1
24/06/2012	7
25/06/2012	7
26/06/2012	11
27/06/2012	6
28/06/2012	5
29/06/2012	7
30/06/2012	0
01/07/2012	2
02/07/2012	9
03/07/2012	2
04/07/2012	9
05/07/2012	5
06/07/2012	12
07/07/2012	7
08/07/2012	3
09/07/2012	4
10/07/2012	18
11/07/2012	10
12/07/2012	11
13/07/2012	8
14/07/2012	1
15/07/2012	3
16/07/2012	6
17/07/2012	5
18/07/2012	4
19/07/2012	4
20/07/2012	8
21/07/2012	8
22/07/2012	1
23/07/2012	5
24/07/2012	6
25/07/2012	2
26/07/2012	6
